"time","tech","value"
2010,"Nuclear",0.199901311390912
2010,"Coal",0.458271624481349
2010,"Oil-Gas-Steam",0.00309675689571129
2010,"NG-CC",0.222441003668864
2010,"NG-CT",0.00153735735980325
2010,"Hydro",0.0668162920499461
2010,"Imports",0.00643906275603243
2010,"Geothermal",0.00463948471690072
2010,"Biopower",0.00977166219925267
2010,"Land-based Wind",0.026216872276915
2010,"Offshore Wind",0
2010,"CSP",0.000313004713165202
2010,"Utility PV",0.000375295761223825
2010,"Rooftop PV",0.000180271729923575
2012,"Nuclear",0.204634965036914
2012,"Coal",0.355971263100075
2012,"Oil-Gas-Steam",0.00154830333291702
2012,"NG-CC",0.295607193844969
2012,"NG-CT",0.00207322501602685
2012,"Hydro",0.0758134062591793
2012,"Imports",0.0119678068893235
2012,"Geothermal",0.00499535231432637
2012,"Biopower",0.00946984973778321
2012,"Land-based Wind",0.0359084028276219
2012,"Offshore Wind",0
2012,"CSP",0.000332035624788147
2012,"Utility PV",0.0010688444047941
2012,"Rooftop PV",0.000609351611281766
2014,"Nuclear",0.195288118227118
2014,"Coal",0.401186429743605
2014,"Oil-Gas-Steam",0.00146664179379993
2014,"NG-CC",0.25792411957736
2014,"NG-CT",0.00126322619487052
2014,"Hydro",0.0665868702905254
2014,"Imports",0.0116444344166183
2014,"Geothermal",0.00509014142193993
2014,"Biopower",0.0103448596072177
2014,"Land-based Wind",0.0433871899229688
2014,"Offshore Wind",0
2014,"CSP",0.000838684895391637
2014,"Utility PV",0.00376267483291258
2014,"Rooftop PV",0.00121660907567272
2016,"Nuclear",0.199116279852956
2016,"Coal",0.277478416516153
2016,"Oil-Gas-Steam",0.000941238552551247
2016,"NG-CC",0.354655596085175
2016,"NG-CT",0.00193877735998729
2016,"Hydro",0.0688666460358435
2016,"Imports",0.0123234015490117
2016,"Geothermal",0.00523923030737999
2016,"Biopower",0.00920253035444738
2016,"Land-based Wind",0.0571854483117902
2016,"Offshore Wind",2.12765088530931e-05
2016,"CSP",0.00137390279897051
2016,"Utility PV",0.00936098459680095
2016,"Rooftop PV",0.00229627117007987
2018,"Nuclear",0.197357128902363
2018,"Coal",0.270974914686847
2018,"Oil-Gas-Steam",0.000822922975128091
2018,"NG-CC",0.324705115222286
2018,"NG-CT",0.00126811699675741
2018,"Hydro",0.0705164941177847
2018,"Imports",0.00961234881682485
2018,"Geothermal",0.00535974201895561
2018,"Biopower",0.0103787424030314
2018,"Land-based Wind",0.0788063891004625
2018,"Offshore Wind",2.78258437629405e-05
2018,"CSP",0.00136875067010586
2018,"Utility PV",0.0222956811867386
2018,"Rooftop PV",0.00650582705895184
2020,"Nuclear",0.185773657431511
2020,"Coal",0.262390970423962
2020,"Oil-Gas-Steam",0.000661971196836444
2020,"NG-CC",0.316461840689923
2020,"NG-CT",0.00117170279145721
2020,"Hydro",0.0702532037698579
2020,"Imports",0.00917825457300281
2020,"Geothermal",0.00522472372448898
2020,"Biopower",0.0104064031552651
2020,"Land-based Wind",0.10187684427915
2020,"Offshore Wind",0.000259368048896608
2020,"CSP",0.00133414344174204
2020,"Utility PV",0.0274193521608141
2020,"Rooftop PV",0.00758756431309263
2022,"Nuclear",0.178884992993194
2022,"Coal",0.250627691690923
2022,"Oil-Gas-Steam",9.58979995036366e-05
2022,"NG-CC",0.315104988074121
2022,"NG-CT",0.00106604009794732
2022,"Hydro",0.0696217130893798
2022,"Imports",0.00984394482495188
2022,"Geothermal",0.00517775982586173
2022,"Biopower",0.0103780781691559
2022,"Land-based Wind",0.109494009673868
2022,"Offshore Wind",0.00127719891004405
2022,"CSP",0.00132193205002804
2022,"Utility PV",0.0383477744461896
2022,"Rooftop PV",0.00875797815483243
2024,"Nuclear",0.174126472682624
2024,"Coal",0.263502658687929
2024,"Oil-Gas-Steam",6.45931496805299e-05
2024,"NG-CC",0.297420310874961
2024,"NG-CT",0.000987096623355334
2024,"Hydro",0.0686301631855752
2024,"Imports",0.010341249960781
2024,"Geothermal",0.00529102088664328
2024,"Biopower",0.0102577804799816
2024,"Land-based Wind",0.108221811075977
2024,"Offshore Wind",0.00229877648633286
2024,"CSP",0.0013027356958646
2024,"Utility PV",0.0478541592196642
2024,"Rooftop PV",0.00970117099062998
2026,"Nuclear",0.169802195378375
2026,"Coal",0.26400736638233
2026,"Oil-Gas-Steam",0
2026,"NG-CC",0.284777248076186
2026,"NG-CT",0.000909201116473218
2026,"Hydro",0.0681502833545173
2026,"Imports",0.0118428285548157
2026,"Geothermal",0.006081322465116
2026,"Biopower",0.0102651515851799
2026,"Land-based Wind",0.107058110365126
2026,"Offshore Wind",0.00396670598621003
2026,"CSP",0.00128622605314096
2026,"Utility PV",0.0609911943877882
2026,"Rooftop PV",0.0108621662947416
2028,"Nuclear",0.167285154184857
2028,"Coal",0.25078224460678
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.280943976212277
2028,"NG-CT",0.00085838785678097
2028,"Hydro",0.0672273093255758
2028,"Imports",0.0117063834733802
2028,"Geothermal",0.00704319926923127
2028,"Biopower",0.00997968437972215
2028,"Land-based Wind",0.106278216417665
2028,"Offshore Wind",0.00480924294633495
2028,"CSP",0.00126704119762663
2028,"Utility PV",0.079538537587276
2028,"Rooftop PV",0.0122806225424932
2030,"Nuclear",0.160361525049481
2030,"Coal",0.231409547353633
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.283340272988838
2030,"NG-CT",0.000582345521476443
2030,"Hydro",0.0665162097562821
2030,"Imports",0.0115876722085042
2030,"Geothermal",0.0069585527267241
2030,"Biopower",0.00983279678473436
2030,"Land-based Wind",0.105457561617608
2030,"Offshore Wind",0.00563340165757466
2030,"CSP",0.00123049016885099
2030,"Utility PV",0.103158735391866
2030,"Rooftop PV",0.0139308887744277
2032,"Nuclear",0.150233565364588
2032,"Coal",0.224598840492451
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.29381388160847
2032,"NG-CT",0.000498938352367957
2032,"Hydro",0.065886038329462
2032,"Imports",0.0115100459631472
2032,"Geothermal",0.00688047926588388
2032,"Biopower",0.00964314577116271
2032,"Land-based Wind",0.106736600647802
2032,"Offshore Wind",0.00556977145771185
2032,"CSP",0.00122027868299013
2032,"Utility PV",0.107839307877875
2032,"Rooftop PV",0.0155691061860894
2034,"Nuclear",0.146792529365582
2034,"Coal",0.210307155296133
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.302538777093073
2034,"NG-CT",0.000432783616883497
2034,"Hydro",0.0649906654447971
2034,"Imports",0.0112612705428517
2034,"Geothermal",0.00686381238326689
2034,"Biopower",0.00917411449522278
2034,"Land-based Wind",0.112241695098668
2034,"Offshore Wind",0.00549295906789634
2034,"CSP",0.0012020795524321
2034,"Utility PV",0.111630149575497
2034,"Rooftop PV",0.0170720084676973
2036,"Nuclear",0.13722869084849
2036,"Coal",0.195213617444684
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.30858866372091
2036,"NG-CT",0.000285742057609195
2036,"Hydro",0.0639860192167238
2036,"Imports",0.0107686732817848
2036,"Geothermal",0.0070570037597679
2036,"Biopower",0.00858684608348218
2036,"Land-based Wind",0.126752774067198
2036,"Offshore Wind",0.00540342119711989
2036,"CSP",0.0011797727635469
2036,"Utility PV",0.116508595068007
2036,"Rooftop PV",0.0184401804906767
2038,"Nuclear",0.131333572731995
2038,"Coal",0.183727981173481
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.314954139428563
2038,"NG-CT",0.000284537469100406
2038,"Hydro",0.0629276469405393
2038,"Imports",0.01048614146453
2038,"Geothermal",0.00774676513907761
2038,"Biopower",0.00726984539103078
2038,"Land-based Wind",0.136352514425987
2038,"Offshore Wind",0.00530788214865666
2038,"CSP",0.0011555771190457
2038,"Utility PV",0.118529671278368
2038,"Rooftop PV",0.0199237252896259
2040,"Nuclear",0.127715545973817
2040,"Coal",0.170625958532972
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.318814459802163
2040,"NG-CT",0.000197534083549033
2040,"Hydro",0.0619302264242468
2040,"Imports",0.0102395890134148
2040,"Geothermal",0.0087742127555506
2040,"Biopower",0.00561444815116294
2040,"Land-based Wind",0.145830684151239
2040,"Offshore Wind",0.00522128854126733
2040,"CSP",0.00113301411920951
2040,"Utility PV",0.122562065879857
2040,"Rooftop PV",0.0213409725715513
2042,"Nuclear",0.121804046271276
2042,"Coal",0.156930235601842
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.327069559410856
2042,"NG-CT",0.000177314064510029
2042,"Hydro",0.061248168404548
2042,"Imports",0.0100722627544311
2042,"Geothermal",0.0100334268557093
2042,"Biopower",0.00466796601207717
2042,"Land-based Wind",0.151986406996462
2042,"Offshore Wind",0.00513568860641164
2042,"CSP",0.00111830172034515
2042,"Utility PV",0.127370581583027
2042,"Rooftop PV",0.0223860417185042
2044,"Nuclear",0.112355796279649
2044,"Coal",0.143783389412262
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.322781042626335
2044,"NG-CT",0.000136498198980714
2044,"Hydro",0.0602329736729371
2044,"Imports",0.00989188900817117
2044,"Geothermal",0.0104402728386761
2044,"Biopower",0.00427795535100947
2044,"Land-based Wind",0.169500736848878
2044,"Offshore Wind",0.00504346616835362
2044,"CSP",0.000866986931224722
2044,"Utility PV",0.137467724812313
2044,"Rooftop PV",0.0232212678512113
2046,"Nuclear",0.0950874928389276
2046,"Coal",0.126487928067254
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.324365612443001
2046,"NG-CT",0.00015285695376144
2046,"Hydro",0.0590760657200055
2046,"Imports",0.0097002615289694
2046,"Geothermal",0.0101618590956295
2046,"Biopower",0.00401684352910854
2046,"Land-based Wind",0.190215714490961
2046,"Offshore Wind",0.00492208417466502
2046,"CSP",0.00074544277606217
2046,"Utility PV",0.151105226871174
2046,"Rooftop PV",0.0239626115104809
2048,"Nuclear",0.0810222850647254
2048,"Coal",0.109708774219261
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.326993424735265
2048,"NG-CT",0.0001664413334628
2048,"Hydro",0.05790301639851
2048,"Imports",0.00950593245695191
2048,"Geothermal",0.00987215127469842
2048,"Biopower",0.00372390884285398
2048,"Land-based Wind",0.20688110820614
2048,"Offshore Wind",0.00482525459326356
2048,"CSP",0.000728453383326323
2048,"Utility PV",0.164295234849179
2048,"Rooftop PV",0.0243740146423626
2050,"Nuclear",0.0738317660150258
2050,"Coal",0.0960605554132693
2050,"Oil-Gas-Steam",0
2050,"NG-CC",0.320990304265222
