"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02629032674
2016,"withdrawal",31418.7327537417
2018,"consumption",1209.25442332365
2018,"withdrawal",30020.0637132856
2020,"consumption",1192.88979695044
2020,"withdrawal",29055.5857858535
2022,"consumption",1161.86322675373
2022,"withdrawal",28135.9111642866
2024,"consumption",1187.57288486761
2024,"withdrawal",28390.474342601
2026,"consumption",1184.17037710824
2026,"withdrawal",28365.2156895277
2028,"consumption",1161.09998925323
2028,"withdrawal",27823.8612686654
2030,"consumption",1127.5858999266
2030,"withdrawal",25719.1057935544
2032,"consumption",1114.99394012465
2032,"withdrawal",24480.1811549677
2034,"consumption",1102.08731380462
2034,"withdrawal",23317.3930336291
2036,"consumption",1072.69014082799
2036,"withdrawal",21552.9986503998
2038,"consumption",1056.5328420305
2038,"withdrawal",20752.3801280516
2040,"consumption",1044.46990797009
2040,"withdrawal",19262.4021686805
2042,"consumption",1016.16439763608
2042,"withdrawal",18597.4779775823
2044,"consumption",969.763151090637
2044,"withdrawal",17650.4080959146
2046,"consumption",904.274978982451
2046,"withdrawal",15176.6970676036
2048,"consumption",839.809721618812
2048,"withdrawal",13613.1464348153
2050,"consumption",795.721328922171
2050,"withdrawal",12291.6257006626
