"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02629032674
2016,"withdrawal",31418.7327537417
2018,"consumption",1209.25442332339
2018,"withdrawal",30020.0637133198
2020,"consumption",1192.88979693586
2020,"withdrawal",29055.5857860009
2022,"consumption",1161.89578109064
2022,"withdrawal",28136.3469342385
2024,"consumption",1187.64225808066
2024,"withdrawal",28388.4969536038
2026,"consumption",1183.78999148554
2026,"withdrawal",28370.1776436215
2028,"consumption",1161.95604705218
2028,"withdrawal",27844.3578748109
2030,"consumption",1123.78516560432
2030,"withdrawal",25720.7442749846
2032,"consumption",1108.90521031539
2032,"withdrawal",24377.1517613981
2034,"consumption",1097.09505495382
2034,"withdrawal",23155.692193507
2036,"consumption",1070.12248914595
2036,"withdrawal",21611.4468316967
2038,"consumption",1058.27786805962
2038,"withdrawal",20715.693198479
2040,"consumption",1043.59865146541
2040,"withdrawal",19306.8977196672
2042,"consumption",1012.82199710727
2042,"withdrawal",18630.2976006446
2044,"consumption",969.247632096179
2044,"withdrawal",17753.1178040366
2046,"consumption",903.71993935867
2046,"withdrawal",15189.4327928015
2048,"consumption",839.128157871243
2048,"withdrawal",13722.7694525063
2050,"consumption",796.880998424112
2050,"withdrawal",12274.5861787767
