"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338981163552
2016,"comp_p",29.0205464963297
2018,"comp_p",31.8396675841927
2020,"comp_p",34.6458929891061
2022,"comp_p",33.0436013176543
2024,"comp_p",33.1434279783841
2026,"comp_p",33.7324457676755
2028,"comp_p",33.5292371774845
2030,"comp_p",32.8087686783355
2032,"comp_p",32.2431495739195
2034,"comp_p",31.6272379233807
2036,"comp_p",30.9166077031559
2038,"comp_p",30.1448456332136
2040,"comp_p",30.5142521460431
2042,"comp_p",30.2383151087213
2044,"comp_p",30.3609188548704
2046,"comp_p",30.8874601314319
2048,"comp_p",31.1084482544658
2050,"comp_p",30.7854402538018
