"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338981163552
2016,"comp_p",29.0205464963297
2018,"comp_p",31.8396675841928
2020,"comp_p",34.6458929891138
2022,"comp_p",33.0435964260483
2024,"comp_p",33.1434275195866
2026,"comp_p",33.7319593138274
2028,"comp_p",33.4792581261777
2030,"comp_p",32.7998969748155
2032,"comp_p",32.3050705238987
2034,"comp_p",31.7666554268252
2036,"comp_p",31.1413520540902
2038,"comp_p",30.3646301254874
2040,"comp_p",30.6951877047659
2042,"comp_p",30.7576311911792
2044,"comp_p",30.9672025990648
2046,"comp_p",31.9521736613794
2048,"comp_p",32.1699271306941
2050,"comp_p",32.3214762739687
