"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116612076
2014,"withdrawal",38035.4711929131
2016,"consumption",1237.02596562726
2016,"withdrawal",31418.8556094364
2018,"consumption",1209.25385295557
2018,"withdrawal",30020.0721438873
2020,"consumption",1143.47593103013
2020,"withdrawal",27449.1383500351
2022,"consumption",1077.79866817266
2022,"withdrawal",24104.3558828417
2024,"consumption",1064.01433938375
2024,"withdrawal",22927.6317985736
2026,"consumption",1042.59028128069
2026,"withdrawal",21794.7150825496
2028,"consumption",1015.93462108325
2028,"withdrawal",20872.2656112049
2030,"consumption",962.249118552036
2030,"withdrawal",17882.4799522384
2032,"consumption",944.00163008034
2032,"withdrawal",16137.3053965383
2034,"consumption",946.375493671509
2034,"withdrawal",14479.7678950725
2036,"consumption",930.033732346062
2036,"withdrawal",13374.2282104405
2038,"consumption",915.709441646493
2038,"withdrawal",12895.3061052357
2040,"consumption",917.195556494687
2040,"withdrawal",12766.5280750696
2042,"consumption",920.42955302802
2042,"withdrawal",12680.8904153522
2044,"consumption",910.124065903311
2044,"withdrawal",12461.8411083376
2046,"consumption",893.182985416264
2046,"withdrawal",11479.5991160506
2048,"consumption",876.93435334674
2048,"withdrawal",11264.2502247568
2050,"consumption",866.363971861892
2050,"withdrawal",10704.3493181254
