"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338981163552
2016,"comp_p",29.0205464963297
2018,"comp_p",31.8396675841926
2020,"comp_p",34.6458929891168
2022,"comp_p",33.0436013176681
2024,"comp_p",33.143427978385
2026,"comp_p",33.732722790914
2028,"comp_p",33.5290346332968
2030,"comp_p",32.8263211703109
2032,"comp_p",32.3116213688154
2034,"comp_p",31.8564152312361
2036,"comp_p",31.2191093846489
2038,"comp_p",30.6824194922925
2040,"comp_p",31.2641044189765
2042,"comp_p",31.0213113938717
2044,"comp_p",31.0173923381921
2046,"comp_p",31.634830797279
2048,"comp_p",31.9717530878296
2050,"comp_p",31.7727839303
