"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615250024
2014,"USA","Coal Usage (Quads)",16.8916613375584
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986512713
2014,"USA","Gas Price (2016$/MMBtu)",5.04340494497302
2016,"USA","Gas Usage (Quads)",10.7956031877325
2016,"USA","Coal Usage (Quads)",11.3967920195837
2016,"USA","Coal Price (2016$/MMBtu)",2.15400414776385
2016,"USA","Gas Price (2016$/MMBtu)",2.98252762690362
2018,"USA","Gas Usage (Quads)",9.6550921418054
2018,"USA","Coal Usage (Quads)",11.1964005094286
2018,"USA","Coal Price (2016$/MMBtu)",2.13716486110986
2018,"USA","Gas Price (2016$/MMBtu)",3.51732381631787
2020,"USA","Gas Usage (Quads)",10.8703761678753
2020,"USA","Coal Usage (Quads)",9.54030300235297
2020,"USA","Coal Price (2016$/MMBtu)",2.18993318322252
2020,"USA","Gas Price (2016$/MMBtu)",3.79552880203214
2022,"USA","Gas Usage (Quads)",12.2795124399524
2022,"USA","Coal Usage (Quads)",7.56767268275853
2022,"USA","Coal Price (2016$/MMBtu)",2.17619971897462
2022,"USA","Gas Price (2016$/MMBtu)",3.4292664350259
2024,"USA","Gas Usage (Quads)",12.6157747758399
2024,"USA","Coal Usage (Quads)",7.08152706910969
2024,"USA","Coal Price (2016$/MMBtu)",2.1612418737216
2024,"USA","Gas Price (2016$/MMBtu)",3.34434695541655
2026,"USA","Gas Usage (Quads)",12.6601383542857
2026,"USA","Coal Usage (Quads)",6.61989832548185
2026,"USA","Coal Price (2016$/MMBtu)",2.16868143243524
2026,"USA","Gas Price (2016$/MMBtu)",3.37053244896785
2028,"USA","Gas Usage (Quads)",12.7183899900079
2028,"USA","Coal Usage (Quads)",5.94575880354939
2028,"USA","Coal Price (2016$/MMBtu)",2.15713136493721
2028,"USA","Gas Price (2016$/MMBtu)",3.43276323618317
2030,"USA","Gas Usage (Quads)",13.3765051239852
2030,"USA","Coal Usage (Quads)",4.3791257627567
2030,"USA","Coal Price (2016$/MMBtu)",2.12638205661925
2030,"USA","Gas Price (2016$/MMBtu)",3.49783979501169
2032,"USA","Gas Usage (Quads)",14.2425974620989
2032,"USA","Coal Usage (Quads)",3.67258959390414
2032,"USA","Coal Price (2016$/MMBtu)",2.09440256248635
2032,"USA","Gas Price (2016$/MMBtu)",3.55889113869759
2034,"USA","Gas Usage (Quads)",14.9840226648678
2034,"USA","Coal Usage (Quads)",3.02750628392474
2034,"USA","Coal Price (2016$/MMBtu)",2.08104588925142
2034,"USA","Gas Price (2016$/MMBtu)",3.56145603751725
2036,"USA","Gas Usage (Quads)",15.6535414381048
2036,"USA","Coal Usage (Quads)",2.48139086405357
2036,"USA","Coal Price (2016$/MMBtu)",2.05733895735203
2036,"USA","Gas Price (2016$/MMBtu)",3.60092515815167
2038,"USA","Gas Usage (Quads)",16.2237645930748
2038,"USA","Coal Usage (Quads)",2.07174801071589
2038,"USA","Coal Price (2016$/MMBtu)",2.06454908251804
2038,"USA","Gas Price (2016$/MMBtu)",3.61562827202301
2040,"USA","Gas Usage (Quads)",16.6141048017568
2040,"USA","Coal Usage (Quads)",1.98011815536769
2040,"USA","Coal Price (2016$/MMBtu)",2.07719602346095
2040,"USA","Gas Price (2016$/MMBtu)",3.63987691342252
2042,"USA","Gas Usage (Quads)",17.2667907777665
2042,"USA","Coal Usage (Quads)",1.91669248154713
2042,"USA","Coal Price (2016$/MMBtu)",2.08781518240914
2042,"USA","Gas Price (2016$/MMBtu)",3.66788506833862
2044,"USA","Gas Usage (Quads)",17.7775286636498
2044,"USA","Coal Usage (Quads)",1.79761434904188
2044,"USA","Coal Price (2016$/MMBtu)",2.10011474245358
2044,"USA","Gas Price (2016$/MMBtu)",3.7048435526239
2046,"USA","Gas Usage (Quads)",18.5695889237608
2046,"USA","Coal Usage (Quads)",1.75087042048812
2046,"USA","Coal Price (2016$/MMBtu)",2.11880370197379
2046,"USA","Gas Price (2016$/MMBtu)",3.77959841812573
2048,"USA","Gas Usage (Quads)",19.170408613443
2048,"USA","Coal Usage (Quads)",1.70568871534242
2048,"USA","Coal Price (2016$/MMBtu)",2.12910350784649
2048,"USA","Gas Price (2016$/MMBtu)",3.8363211323299
2050,"USA","Gas Usage (Quads)",19.2855094411622
2050,"USA","Coal Usage (Quads)",1.60947823217221
2050,"USA","Coal Price (2016$/MMBtu)",2.14583621084428
2050,"USA","Gas Price (2016$/MMBtu)",3.77656957586943
