"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615250024
2014,"USA","Coal Usage (Quads)",16.8916613375584
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986512713
2014,"USA","Gas Price (2016$/MMBtu)",5.04340494497302
2016,"USA","Gas Usage (Quads)",10.7956031877325
2016,"USA","Coal Usage (Quads)",11.3967920195837
2016,"USA","Coal Price (2016$/MMBtu)",2.15400414776385
2016,"USA","Gas Price (2016$/MMBtu)",2.98252762690362
2018,"USA","Gas Usage (Quads)",9.6550921417884
2018,"USA","Coal Usage (Quads)",11.1964005094359
2018,"USA","Coal Price (2016$/MMBtu)",2.13716486110778
2018,"USA","Gas Price (2016$/MMBtu)",3.51732381631782
2020,"USA","Gas Usage (Quads)",10.8703432813304
2020,"USA","Coal Usage (Quads)",9.54009044727717
2020,"USA","Coal Price (2016$/MMBtu)",2.18992317203472
2020,"USA","Gas Price (2016$/MMBtu)",3.79552222560107
2022,"USA","Gas Usage (Quads)",12.2771075265645
2022,"USA","Coal Usage (Quads)",7.5707494575371
2022,"USA","Coal Price (2016$/MMBtu)",2.17625281172002
2022,"USA","Gas Price (2016$/MMBtu)",3.42876638913772
2024,"USA","Gas Usage (Quads)",12.6084822830415
2024,"USA","Coal Usage (Quads)",7.10109156290567
2024,"USA","Coal Price (2016$/MMBtu)",2.1619900873933
2024,"USA","Gas Price (2016$/MMBtu)",3.34277170437113
2026,"USA","Gas Usage (Quads)",12.6521606998045
2026,"USA","Coal Usage (Quads)",6.62237119668689
2026,"USA","Coal Price (2016$/MMBtu)",2.16968075381658
2026,"USA","Gas Price (2016$/MMBtu)",3.36879504445334
2028,"USA","Gas Usage (Quads)",12.7134317252361
2028,"USA","Coal Usage (Quads)",5.93890142585938
2028,"USA","Coal Price (2016$/MMBtu)",2.156970001904
2028,"USA","Gas Price (2016$/MMBtu)",3.43126154120157
2030,"USA","Gas Usage (Quads)",13.3398439598369
2030,"USA","Coal Usage (Quads)",4.3927942136285
2030,"USA","Coal Price (2016$/MMBtu)",2.12853155060695
2030,"USA","Gas Price (2016$/MMBtu)",3.48919207086201
2032,"USA","Gas Usage (Quads)",14.2410153436974
2032,"USA","Coal Usage (Quads)",3.62878735008438
2032,"USA","Coal Price (2016$/MMBtu)",2.09234500549728
2032,"USA","Gas Price (2016$/MMBtu)",3.55870575311643
2034,"USA","Gas Usage (Quads)",14.9168222555601
2034,"USA","Coal Usage (Quads)",3.03305783216538
2034,"USA","Coal Price (2016$/MMBtu)",2.07922504827348
2034,"USA","Gas Price (2016$/MMBtu)",3.54541665673695
2036,"USA","Gas Usage (Quads)",15.5843174802192
2036,"USA","Coal Usage (Quads)",2.57290190029684
2036,"USA","Coal Price (2016$/MMBtu)",2.07174405695145
2036,"USA","Gas Price (2016$/MMBtu)",3.58658094928121
2038,"USA","Gas Usage (Quads)",16.2583899885645
2038,"USA","Coal Usage (Quads)",2.06885228998928
2038,"USA","Coal Price (2016$/MMBtu)",2.06708236208703
2038,"USA","Gas Price (2016$/MMBtu)",3.62196796031511
2040,"USA","Gas Usage (Quads)",16.6037218205926
2040,"USA","Coal Usage (Quads)",1.97890677490723
2040,"USA","Coal Price (2016$/MMBtu)",2.08054332877305
2040,"USA","Gas Price (2016$/MMBtu)",3.63903846263757
2042,"USA","Gas Usage (Quads)",17.2854145407197
2042,"USA","Coal Usage (Quads)",1.91348431288593
2042,"USA","Coal Price (2016$/MMBtu)",2.09014407068703
2042,"USA","Gas Price (2016$/MMBtu)",3.67173382572451
2044,"USA","Gas Usage (Quads)",17.8319533942861
2044,"USA","Coal Usage (Quads)",1.80766328863268
2044,"USA","Coal Price (2016$/MMBtu)",2.10128607704148
2044,"USA","Gas Price (2016$/MMBtu)",3.71656468076708
2046,"USA","Gas Usage (Quads)",18.6274084355865
2046,"USA","Coal Usage (Quads)",1.7819763391845
2046,"USA","Coal Price (2016$/MMBtu)",2.1258026368796
2046,"USA","Gas Price (2016$/MMBtu)",3.79142667781743
2048,"USA","Gas Usage (Quads)",19.2772042487817
2048,"USA","Coal Usage (Quads)",1.74189845341011
2048,"USA","Coal Price (2016$/MMBtu)",2.13154582452403
2048,"USA","Gas Price (2016$/MMBtu)",3.85818079171149
2050,"USA","Gas Usage (Quads)",19.4640633840864
2050,"USA","Coal Usage (Quads)",1.66327427334032
2050,"USA","Coal Price (2016$/MMBtu)",2.14583306268728
2050,"USA","Gas Price (2016$/MMBtu)",3.81404982313263
