"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.8270440036708
2014,"comp_p",43.9076534488333
2016,"comp_p",29.0631720612821
2018,"comp_p",31.8831097060616
2020,"comp_p",34.2706145694874
2022,"comp_p",31.8509051436101
2024,"comp_p",31.7803923421208
2026,"comp_p",31.6214470574553
2028,"comp_p",29.879576776705
2030,"comp_p",26.8146368980854
2032,"comp_p",24.9429366787423
2034,"comp_p",23.7104506135263
2036,"comp_p",23.3591498068648
2038,"comp_p",23.0841392972624
2040,"comp_p",23.0178416640722
2042,"comp_p",22.2908279415027
2044,"comp_p",22.1349238805107
2046,"comp_p",21.7732009195773
2048,"comp_p",21.8750478141459
2050,"comp_p",21.0185864563613
