"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789002266
2018,"comp_p",31.8396697555559
2020,"comp_p",35.7168521968142
2022,"comp_p",35.1667624101606
2024,"comp_p",36.43729464425
2026,"comp_p",37.2534651844504
2028,"comp_p",37.0714830027331
2030,"comp_p",37.0218083722228
2032,"comp_p",36.9198338599259
2034,"comp_p",36.6894034293706
2036,"comp_p",36.7750675462861
2038,"comp_p",36.9673061823687
2040,"comp_p",37.5091209992054
2042,"comp_p",37.8656222854684
2044,"comp_p",38.0742912844911
2046,"comp_p",38.0887202435513
2048,"comp_p",39.5195665269416
2050,"comp_p",40.0508575993413
