"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02629032674
2016,"withdrawal",31418.7327537417
2018,"consumption",1209.25442332429
2018,"withdrawal",30020.0637132676
2020,"consumption",1192.87773572171
2020,"withdrawal",29055.1282355571
2022,"consumption",1161.84895696307
2022,"withdrawal",28135.8931800249
2024,"consumption",1187.50763166597
2024,"withdrawal",28389.2825471158
2026,"consumption",1183.66259085565
2026,"withdrawal",28377.8624459711
2028,"consumption",1162.13070336198
2028,"withdrawal",27840.0476334443
2030,"consumption",1123.51986757874
2030,"withdrawal",25729.4701895032
2032,"consumption",1109.63175583018
2032,"withdrawal",24433.7435147228
2034,"consumption",1100.46461831164
2034,"withdrawal",23257.0058930568
2036,"consumption",1069.73887975806
2036,"withdrawal",21637.2968980489
2038,"consumption",1052.55027112635
2038,"withdrawal",20639.8336966764
2040,"consumption",1041.85310509856
2040,"withdrawal",19228.8657916598
2042,"consumption",1012.09206698787
2042,"withdrawal",18694.599511077
2044,"consumption",964.549909264677
2044,"withdrawal",17803.4861454569
2046,"consumption",903.424143595594
2046,"withdrawal",15239.1470125311
2048,"consumption",838.364774113854
2048,"withdrawal",13747.7289666417
2050,"consumption",798.68309366902
2050,"withdrawal",12335.89170467
