"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09603580062022
2012,"USA","Coal Usage (Quads)",14.7448962902997
2012,"USA","Coal Price (2016$/MMBtu)",2.4777656363637
2012,"USA","Gas Price (2016$/MMBtu)",3.63715327706063
2014,"USA","Gas Usage (Quads)",7.94863708382189
2014,"USA","Coal Usage (Quads)",16.8937446015556
2014,"USA","Coal Price (2016$/MMBtu)",2.41468479222679
2014,"USA","Gas Price (2016$/MMBtu)",5.04640374050392
2016,"USA","Gas Usage (Quads)",10.8207787967257
2016,"USA","Coal Usage (Quads)",11.4221839488766
2016,"USA","Coal Price (2016$/MMBtu)",2.15421043913461
2016,"USA","Gas Price (2016$/MMBtu)",2.98765484553517
2018,"USA","Gas Usage (Quads)",9.66475602219195
2018,"USA","Coal Usage (Quads)",11.250198958118
2018,"USA","Coal Price (2016$/MMBtu)",2.13758086104625
2018,"USA","Gas Price (2016$/MMBtu)",3.51856508103979
2020,"USA","Gas Usage (Quads)",9.44165261915536
2020,"USA","Coal Usage (Quads)",10.980739065807
2020,"USA","Coal Price (2016$/MMBtu)",2.22374715353515
2020,"USA","Gas Price (2016$/MMBtu)",4.0325387022497
2022,"USA","Gas Usage (Quads)",9.39567303900784
2022,"USA","Coal Usage (Quads)",10.3695994100828
2022,"USA","Coal Price (2016$/MMBtu)",2.22428262102817
2022,"USA","Gas Price (2016$/MMBtu)",3.97413415475984
2024,"USA","Gas Usage (Quads)",8.79498935918257
2024,"USA","Coal Usage (Quads)",10.7198119869104
2024,"USA","Coal Price (2016$/MMBtu)",2.22292121085759
2024,"USA","Gas Price (2016$/MMBtu)",4.07897248948279
2026,"USA","Gas Usage (Quads)",8.46096228650543
2026,"USA","Coal Usage (Quads)",10.6111578062387
2026,"USA","Coal Price (2016$/MMBtu)",2.24617900685599
2026,"USA","Gas Price (2016$/MMBtu)",4.15199448736873
2028,"USA","Gas Usage (Quads)",8.32031315465301
2028,"USA","Coal Usage (Quads)",9.89984979863831
2028,"USA","Coal Price (2016$/MMBtu)",2.24151240553971
2028,"USA","Gas Price (2016$/MMBtu)",4.12097497212559
2030,"USA","Gas Usage (Quads)",8.17385460524491
2030,"USA","Coal Usage (Quads)",8.92002262926952
2030,"USA","Coal Price (2016$/MMBtu)",2.26161397748492
2030,"USA","Gas Price (2016$/MMBtu)",4.12618995151244
2032,"USA","Gas Usage (Quads)",8.51228076846397
2032,"USA","Coal Usage (Quads)",8.75452831564339
2032,"USA","Coal Price (2016$/MMBtu)",2.25623073809012
2032,"USA","Gas Price (2016$/MMBtu)",4.19148800577388
2034,"USA","Gas Usage (Quads)",8.73569672463041
2034,"USA","Coal Usage (Quads)",8.31325897904461
2034,"USA","Coal Price (2016$/MMBtu)",2.25960162765789
2034,"USA","Gas Price (2016$/MMBtu)",4.21414113225134
2036,"USA","Gas Usage (Quads)",8.73879805928721
2036,"USA","Coal Usage (Quads)",7.43686845993891
2036,"USA","Coal Price (2016$/MMBtu)",2.26149709020823
2036,"USA","Gas Price (2016$/MMBtu)",4.2963853151175
2038,"USA","Gas Usage (Quads)",9.05991827789181
2038,"USA","Coal Usage (Quads)",6.84490347464816
2038,"USA","Coal Price (2016$/MMBtu)",2.27812867316904
2038,"USA","Gas Price (2016$/MMBtu)",4.41212914102233
2040,"USA","Gas Usage (Quads)",9.23136695691042
2040,"USA","Coal Usage (Quads)",6.23804961851059
2040,"USA","Coal Price (2016$/MMBtu)",2.28771363203221
2040,"USA","Gas Price (2016$/MMBtu)",4.50067450280887
2042,"USA","Gas Usage (Quads)",9.33893464377142
2042,"USA","Coal Usage (Quads)",5.70885940986487
2042,"USA","Coal Price (2016$/MMBtu)",2.29741085646865
2042,"USA","Gas Price (2016$/MMBtu)",4.56308388489039
2044,"USA","Gas Usage (Quads)",9.35648134801286
2044,"USA","Coal Usage (Quads)",5.24526315570631
2044,"USA","Coal Price (2016$/MMBtu)",2.29356359542397
2044,"USA","Gas Price (2016$/MMBtu)",4.65992820419361
2046,"USA","Gas Usage (Quads)",9.77768362035112
2046,"USA","Coal Usage (Quads)",4.45767006646111
2046,"USA","Coal Price (2016$/MMBtu)",2.30025245094324
2046,"USA","Gas Price (2016$/MMBtu)",4.80967490301287
2048,"USA","Gas Usage (Quads)",10.2103428637337
2048,"USA","Coal Usage (Quads)",4.00579641641398
2048,"USA","Coal Price (2016$/MMBtu)",2.3075828414944
2048,"USA","Gas Price (2016$/MMBtu)",5.0040175444076
2050,"USA","Gas Usage (Quads)",10.2162908948691
2050,"USA","Coal Usage (Quads)",3.68892966536672
2050,"USA","Coal Price (2016$/MMBtu)",2.31232398354259
2050,"USA","Gas Price (2016$/MMBtu)",5.12374592482204
