"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.30207479467
2012,"withdrawal",36410.6058775348
2014,"consumption",1419.64030497782
2014,"withdrawal",38048.4193392528
2016,"consumption",1238.81469143041
2016,"withdrawal",31446.9237396572
2018,"consumption",1212.59241540845
2018,"withdrawal",30057.2696069723
2020,"consumption",1182.87434405803
2020,"withdrawal",28859.7729833795
2022,"consumption",1140.79536910992
2022,"withdrawal",27697.9394781454
2024,"consumption",1143.63975291883
2024,"withdrawal",27320.7185914371
2026,"consumption",1127.45145854755
2026,"withdrawal",26792.4652185077
2028,"consumption",1089.22218638699
2028,"withdrawal",25804.6659117962
2030,"consumption",1032.13034923048
2030,"withdrawal",23703.3902022423
2032,"consumption",1017.35237847167
2032,"withdrawal",22542.8296644677
2034,"consumption",1011.97361696767
2034,"withdrawal",21042.5256617918
2036,"consumption",959.219880719
2036,"withdrawal",19047.0901242043
2038,"consumption",930.428390406381
2038,"withdrawal",18162.7664049018
2040,"consumption",905.737363541159
2040,"withdrawal",16951.7676500959
2042,"consumption",870.422599997826
2042,"withdrawal",16179.6197125738
2044,"consumption",827.89221783947
2044,"withdrawal",15437.644726346
2046,"consumption",762.711954983319
2046,"withdrawal",13169.8053544034
2048,"consumption",715.137440867978
2048,"withdrawal",12238.1798916182
2050,"consumption",683.984529614208
2050,"withdrawal",11472.4798925688
