"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86033852637,"withdrawal"
"AL",2014,1613.21821197388,"withdrawal"
"AL",2016,1372.46774395214,"withdrawal"
"AL",2018,1366.48865445916,"withdrawal"
"AL",2020,1374.43694592065,"withdrawal"
"AL",2022,1413.48454975505,"withdrawal"
"AL",2024,1410.89962587372,"withdrawal"
"AL",2026,1410.70781187894,"withdrawal"
"AL",2028,1411.05269126931,"withdrawal"
"AL",2030,1361.67629486352,"withdrawal"
"AL",2032,1380.45125487726,"withdrawal"
"AL",2034,1327.17154852543,"withdrawal"
"AL",2036,1307.16237165878,"withdrawal"
"AL",2038,1331.49660911424,"withdrawal"
"AL",2040,1268.73434682513,"withdrawal"
"AL",2042,1249.45831294709,"withdrawal"
"AL",2044,1237.8435452797,"withdrawal"
"AL",2046,1234.23367647338,"withdrawal"
"AL",2048,1224.22134771561,"withdrawal"
"AL",2050,1224.44905523881,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.3191947520836,"withdrawal"
"AR",2014,71.5220314715899,"withdrawal"
"AR",2016,35.9565967463334,"withdrawal"
"AR",2018,34.862410627977,"withdrawal"
"AR",2020,39.9273261795128,"withdrawal"
"AR",2022,34.9952664540411,"withdrawal"
"AR",2024,38.3811660859196,"withdrawal"
"AR",2026,36.721908631893,"withdrawal"
"AR",2028,33.2034704166905,"withdrawal"
"AR",2030,28.876673714361,"withdrawal"
"AR",2032,26.8412221395776,"withdrawal"
"AR",2034,25.3730771902258,"withdrawal"
"AR",2036,25.4169147020655,"withdrawal"
"AR",2038,26.5164727138446,"withdrawal"
"AR",2040,27.5631680839767,"withdrawal"
"AR",2042,27.296263943424,"withdrawal"
"AR",2044,26.6766428335208,"withdrawal"
"AR",2046,26.1197596617731,"withdrawal"
"AR",2048,26.4841506897221,"withdrawal"
"AR",2050,25.1811535225338,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.983189750352,"withdrawal"
"AZ",2014,114.131452328122,"withdrawal"
"AZ",2016,88.5817111317828,"withdrawal"
"AZ",2018,88.6657716711337,"withdrawal"
"AZ",2020,71.1929979887015,"withdrawal"
"AZ",2022,71.2069962426484,"withdrawal"
"AZ",2024,59.1330150346222,"withdrawal"
"AZ",2026,60.485477983051,"withdrawal"
"AZ",2028,60.392218574149,"withdrawal"
"AZ",2030,59.1858392104554,"withdrawal"
"AZ",2032,59.4795574838022,"withdrawal"
"AZ",2034,59.5945618375813,"withdrawal"
"AZ",2036,60.0831828881855,"withdrawal"
"AZ",2038,60.274555485466,"withdrawal"
"AZ",2040,60.1485768640831,"withdrawal"
"AZ",2042,59.6329377326777,"withdrawal"
"AZ",2044,60.0909154586092,"withdrawal"
"AZ",2046,59.6783544041052,"withdrawal"
"AZ",2048,59.7187127763041,"withdrawal"
"AZ",2050,58.4609878264539,"withdrawal"
"CA",2010,1826.27020748746,"withdrawal"
"CA",2012,1805.43080943486,"withdrawal"
"CA",2014,1069.9307265401,"withdrawal"
"CA",2016,1068.2952547534,"withdrawal"
"CA",2018,1047.33171477853,"withdrawal"
"CA",2020,1045.67270135641,"withdrawal"
"CA",2022,1023.385176303,"withdrawal"
"CA",2024,629.960394001127,"withdrawal"
"CA",2026,191.860161482096,"withdrawal"
"CA",2028,188.602082015956,"withdrawal"
"CA",2030,170.403382317134,"withdrawal"
"CA",2032,171.829726794883,"withdrawal"
"CA",2034,170.199722115362,"withdrawal"
"CA",2036,167.444957829368,"withdrawal"
"CA",2038,149.747880266579,"withdrawal"
"CA",2040,140.96324053437,"withdrawal"
"CA",2042,126.445006924516,"withdrawal"
"CA",2044,114.759045059462,"withdrawal"
"CA",2046,103.824185769984,"withdrawal"
"CA",2048,102.648975645326,"withdrawal"
"CA",2050,102.083915962418,"withdrawal"
"CO",2010,78.1191748138446,"withdrawal"
"CO",2012,74.3782980841393,"withdrawal"
"CO",2014,74.6329914241922,"withdrawal"
"CO",2016,68.8760791002901,"withdrawal"
"CO",2018,54.2192599322246,"withdrawal"
"CO",2020,53.0103344417297,"withdrawal"
"CO",2022,51.3533781867615,"withdrawal"
"CO",2024,51.4268625410481,"withdrawal"
"CO",2026,45.8807429384295,"withdrawal"
"CO",2028,45.8577588447342,"withdrawal"
"CO",2030,19.5940776558741,"withdrawal"
"CO",2032,19.6729735708261,"withdrawal"
"CO",2034,19.6549976824858,"withdrawal"
"CO",2036,19.2146662137323,"withdrawal"
"CO",2038,18.8005072959684,"withdrawal"
"CO",2040,17.350330060071,"withdrawal"
"CO",2042,16.6366501961109,"withdrawal"
"CO",2044,17.0117097552585,"withdrawal"
"CO",2046,16.1627910921068,"withdrawal"
"CO",2048,16.1582407476907,"withdrawal"
"CO",2050,15.2450627768723,"withdrawal"
"CT",2010,771.75470615105,"withdrawal"
"CT",2012,738.126309315769,"withdrawal"
"CT",2014,845.830251624644,"withdrawal"
"CT",2016,773.091493058188,"withdrawal"
"CT",2018,755.430766372158,"withdrawal"
"CT",2020,740.59059398246,"withdrawal"
"CT",2022,740.624401239204,"withdrawal"
"CT",2024,740.528820474615,"withdrawal"
"CT",2026,740.433988554096,"withdrawal"
"CT",2028,740.380167731487,"withdrawal"
"CT",2030,740.340666602595,"withdrawal"
"CT",2032,740.28280131151,"withdrawal"
"CT",2034,740.170986371502,"withdrawal"
"CT",2036,434.684020075478,"withdrawal"
"CT",2038,434.062917032697,"withdrawal"
"CT",2040,433.320567201372,"withdrawal"
"CT",2042,433.020476204687,"withdrawal"
"CT",2044,432.420325591679,"withdrawal"
"CT",2046,3.26529697454651,"withdrawal"
"CT",2048,2.80148353168754,"withdrawal"
"CT",2050,2.51176879896887,"withdrawal"
"DE",2010,65.8356854091297,"withdrawal"
"DE",2012,44.6858066363455,"withdrawal"
"DE",2014,3.22538332049661,"withdrawal"
"DE",2016,4.19225657221409,"withdrawal"
"DE",2018,3.60299642472296,"withdrawal"
"DE",2020,3.57372065923127,"withdrawal"
"DE",2022,3.68832910968678,"withdrawal"
"DE",2024,3.6883875801053,"withdrawal"
"DE",2026,3.61799199173541,"withdrawal"
"DE",2028,3.62546348674449,"withdrawal"
"DE",2030,3.11375886839338,"withdrawal"
"DE",2032,3.61648669214214,"withdrawal"
"DE",2034,2.87455755947596,"withdrawal"
"DE",2036,2.44660307585765,"withdrawal"
"DE",2038,2.44665140245085,"withdrawal"
