"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.30207479467
2012,"withdrawal",36410.6058775348
2014,"consumption",1419.64030497782
2014,"withdrawal",38048.4193392528
2016,"consumption",1238.81469143041
2016,"withdrawal",31446.9237396572
2018,"consumption",1211.31636684406
2018,"withdrawal",30035.4340795325
2020,"consumption",1176.69183904282
2020,"withdrawal",28689.108666185
2022,"consumption",1079.59293460639
2022,"withdrawal",26213.7915890966
2024,"consumption",1084.07926487073
2024,"withdrawal",25988.1034131953
2026,"consumption",1051.55097276428
2026,"withdrawal",25157.2936392298
2028,"consumption",966.169789968489
2028,"withdrawal",22288.1962104222
2030,"consumption",827.473837740366
2030,"withdrawal",18654.3664033741
2032,"consumption",682.44292487314
2032,"withdrawal",15404.521292735
2034,"consumption",628.380806101721
2034,"withdrawal",13727.8019911121
2036,"consumption",611.036782038094
2036,"withdrawal",12672.809194237
2038,"consumption",593.859599675542
2038,"withdrawal",12213.7466545489
2040,"consumption",585.124145874837
2040,"withdrawal",12063.7663722435
2042,"consumption",565.989949779268
2042,"withdrawal",11843.6307113356
2044,"consumption",529.349918366491
2044,"withdrawal",11563.2089839928
2046,"consumption",488.987429249012
2046,"withdrawal",10611.80286875
2048,"consumption",453.037704945069
2048,"withdrawal",10381.7063650357
2050,"consumption",439.01482282836
2050,"withdrawal",9711.72074004078
