"time","tech","value"
2010,"Nuclear",0.199901311390912
2010,"Coal",0.458271624481349
2010,"Oil-Gas-Steam",0.00309675689571129
2010,"NG-CC",0.222441003668864
2010,"NG-CT",0.00153735735980325
2010,"Hydro",0.0668162920499461
2010,"Imports",0.00643906275603243
2010,"Geothermal",0.00463948471690072
2010,"Biopower",0.00977166219925267
2010,"Land-based Wind",0.026216872276915
2010,"Offshore Wind",0
2010,"CSP",0.000313004713165202
2010,"Utility PV",0.000375295761223825
2010,"Rooftop PV",0.000180271729923575
2012,"Nuclear",0.204634953595308
2012,"Coal",0.355970395189003
2012,"Oil-Gas-Steam",0.00161689870130463
2012,"NG-CC",0.295558312786624
2012,"NG-CT",0.00205439789560821
2012,"Hydro",0.0758134020202792
2012,"Imports",0.0119678062201762
2012,"Geothermal",0.00499535203502488
2012,"Biopower",0.00946984920830289
2012,"Land-based Wind",0.0359084008199016
2012,"Offshore Wind",0
2012,"CSP",0.000332035606223281
2012,"Utility PV",0.00106884434503258
2012,"Rooftop PV",0.000609351577211533
2014,"Nuclear",0.195287960739953
2014,"Coal",0.40123344042364
2014,"Oil-Gas-Steam",0.00156611917259588
2014,"NG-CC",0.257800132738319
2014,"NG-CT",0.00124100528358888
2014,"Hydro",0.0665868165925457
2014,"Imports",0.0116444250261394
2014,"Geothermal",0.00509013731707196
2014,"Biopower",0.0103448509933238
2014,"Land-based Wind",0.0433871476006363
2014,"Offshore Wind",0
2014,"CSP",0.000838684219054429
2014,"Utility PV",0.00376267179858068
2014,"Rooftop PV",0.00121660809455115
2016,"Nuclear",0.19911603352303
2016,"Coal",0.277438803680969
2016,"Oil-Gas-Steam",0.00104458541404801
2016,"NG-CC",0.354620388219926
2016,"NG-CT",0.00191069954186462
2016,"Hydro",0.0688665607849265
2016,"Imports",0.0123233862937126
2016,"Geothermal",0.00523922382659402
2016,"Biopower",0.00920253810775592
2016,"Land-based Wind",0.0571853612015513
2016,"Offshore Wind",2.1276482514626e-05
2016,"CSP",0.00137390113010545
2016,"Utility PV",0.00936097324507145
2016,"Rooftop PV",0.00229626854793139
2018,"Nuclear",0.197356713028648
2018,"Coal",0.271104770987873
2018,"Oil-Gas-Steam",0.000925512208071807
2018,"NG-CC",0.324487313923736
2018,"NG-CT",0.00126057716476824
2018,"Hydro",0.0705162822127856
2018,"Imports",0.00961232856154837
2018,"Geothermal",0.00535973072483192
2018,"Biopower",0.0103786290183083
2018,"Land-based Wind",0.0788060745378464
2018,"Offshore Wind",2.78257878071885e-05
2018,"CSP",0.00136874779034172
2018,"Utility PV",0.0222892845718396
2018,"Rooftop PV",0.00650620948159355
2020,"Nuclear",0.185750825949207
2020,"Coal",0.267860341288375
2020,"Oil-Gas-Steam",0.000719451313472491
2020,"NG-CC",0.312201302711797
2020,"NG-CT",0.00115800112979449
2020,"Hydro",0.0702506567688131
2020,"Imports",0.00917712657046592
2020,"Geothermal",0.00522408160876111
2020,"Biopower",0.0104056123674297
2020,"Land-based Wind",0.100659108363888
2020,"Offshore Wind",0.000259335692459444
2020,"CSP",0.00133398445333186
2020,"Utility PV",0.0274119953071992
2020,"Rooftop PV",0.00758817647500726
2022,"Nuclear",0.178811727930023
2022,"Coal",0.25923864166978
2022,"Oil-Gas-Steam",0.000333002112450275
2022,"NG-CC",0.31029754145687
2022,"NG-CT",0.00104647564631947
2022,"Hydro",0.0695992290952825
2022,"Imports",0.00983991308798289
2022,"Geothermal",0.00517563919576092
2022,"Biopower",0.0103026341325374
2022,"Land-based Wind",0.105181932726729
2022,"Offshore Wind",0.0012766273622667
2022,"CSP",0.00132126066354903
2022,"Utility PV",0.0388217731430908
2022,"Rooftop PV",0.00875360177735865
2024,"Nuclear",0.174003385570306
2024,"Coal",0.28031958020323
2024,"Oil-Gas-Steam",0.000314344456773312
2024,"NG-CC",0.292819744240664
2024,"NG-CT",0.000965440822322343
2024,"Hydro",0.0685786900164864
2024,"Imports",0.0103339399028913
2024,"Geothermal",0.00509974838309413
2024,"Biopower",0.0102396877475036
2024,"Land-based Wind",0.10369457558418
2024,"Offshore Wind",0.00229717602838535
2024,"CSP",0.00130165856884429
2024,"Utility PV",0.0403346693876228
2024,"Rooftop PV",0.0096973590876957
2026,"Nuclear",0.169753791844393
2026,"Coal",0.28887177908537
2026,"Oil-Gas-Steam",0.000347285797866459
2026,"NG-CC",0.281693306247516
2026,"NG-CT",0.000902583681608818
2026,"Hydro",0.0678477999245153
2026,"Imports",0.0118394526575851
2026,"Geothermal",0.00545613805789485
2026,"Biopower",0.0102401417793177
2026,"Land-based Wind",0.102494549089523
2026,"Offshore Wind",0.00396564782748081
2026,"CSP",0.00127409961718834
2026,"Utility PV",0.044479327561987
2026,"Rooftop PV",0.0108340968277537
2028,"Nuclear",0.16720957551402
2028,"Coal",0.289545940514208
2028,"Oil-Gas-Steam",9.29551962919098e-05
2028,"NG-CC",0.277963632889138
2028,"NG-CT",0.000878951315891304
2028,"Hydro",0.0669545836903107
2028,"Imports",0.0117010945826382
2028,"Geothermal",0.00598846997054444
2028,"Biopower",0.00997444681499384
2028,"Land-based Wind",0.101921331658664
2028,"Offshore Wind",0.00480710552069274
2028,"CSP",0.00123591444239506
2028,"Utility PV",0.0495008556000898
2028,"Rooftop PV",0.0122251422901229
2030,"Nuclear",0.16521175114621
2030,"Coal",0.284633296102039
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.274770724838924
2030,"NG-CT",0.000874693730920966
2030,"Hydro",0.0662423057281833
2030,"Imports",0.0115832595649218
2030,"Geothermal",0.0059169195752021
2030,"Biopower",0.0098759358776664
2030,"Land-based Wind",0.101283961240836
2030,"Offshore Wind",0.0056311923735031
2030,"CSP",0.00119458590771382
2030,"Utility PV",0.0588903496703847
2030,"Rooftop PV",0.0138910242434959
2032,"Nuclear",0.163329907207041
2032,"Coal",0.275346849585432
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.275826135342231
2032,"NG-CT",0.000868958346055762
2032,"Hydro",0.065555949184687
2032,"Imports",0.0115036764312475
2032,"Geothermal",0.00584939709847631
2032,"Biopower",0.00968316570970442
2032,"Land-based Wind",0.0990334211747663
2032,"Offshore Wind",0.00556651628659603
2032,"CSP",0.00118038523142518
2032,"Utility PV",0.0707808447011411
2032,"Rooftop PV",0.0154747937011959
2034,"Nuclear",0.161073146261862
2034,"Coal",0.261014619000241
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.272171534473563
2034,"NG-CT",0.000867900953675435
2034,"Hydro",0.0648095815892135
2034,"Imports",0.0112549910101627
2034,"Geothermal",0.0057686989305867
2034,"Biopower",0.00919835885751445
2034,"Land-based Wind",0.102957748573404
2034,"Offshore Wind",0.00548980212092902
2034,"CSP",0.00116370883315217
2034,"Utility PV",0.0872857434381783
2034,"Rooftop PV",0.0169441659575171
2036,"Nuclear",0.15846798655098
2036,"Coal",0.240464821611781
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.262618582839961
2036,"NG-CT",0.000668677269863686
2036,"Hydro",0.0638365225420515
2036,"Imports",0.0107646215684008
2036,"Geothermal",0.00593174661430128
2036,"Biopower",0.00861746262547617
2036,"Land-based Wind",0.114031744399836
2036,"Offshore Wind",0.00540076970893396
2036,"CSP",0.00114774313574658
2036,"Utility PV",0.109739138881014
2036,"Rooftop PV",0.018310182251653
2038,"Nuclear",0.155728653444768
2038,"Coal",0.216841487675254
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.261519303462209
2038,"NG-CT",0.00049023381872124
2038,"Hydro",0.0628672418637237
2038,"Imports",0.0104865494502595
2038,"Geothermal",0.00582920836519281
2038,"Biopower",0.0072697084936949
2038,"Land-based Wind",0.123646320233178
2038,"Offshore Wind",0.00530706894972773
2038,"CSP",0.00113768308166099
2038,"Utility PV",0.129076697131374
2038,"Rooftop PV",0.0197998440302352
2040,"Nuclear",0.153179595076907
2040,"Coal",0.202413176132468
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.264367816483401
2040,"NG-CT",0.000389251228345604
2040,"Hydro",0.0618693258207229
2040,"Imports",0.0102377081476708
2040,"Geothermal",0.00573379244761685
2040,"Biopower",0.00562035878294636
2040,"Land-based Wind",0.137507622342867
2040,"Offshore Wind",0.00522032571390373
2040,"CSP",0.00112416586630505
2040,"Utility PV",0.131222490528468
2040,"Rooftop PV",0.0211143714283787
2042,"Nuclear",0.150639058511332
2042,"Coal",0.192191342830009
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.262291979219419
2042,"NG-CT",0.000326683552227184
2042,"Hydro",0.0612211033573158
2042,"Imports",0.0100679122170589
2042,"Geothermal",0.00631321465790581
2042,"Biopower",0.00468387922391112
2042,"Land-based Wind",0.148209927457987
2042,"Offshore Wind",0.0051336534342684
2042,"CSP",0.00110757686851043
2042,"Utility PV",0.135688228886503
2042,"Rooftop PV",0.0221254397835515
2044,"Nuclear",0.147972636990568
2044,"Coal",0.179096154038768
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.26299250036781
2044,"NG-CT",0.000248844102291827
2044,"Hydro",0.0601450675664078
2044,"Imports",0.00988970280663089
2044,"Geothermal",0.00734376827908612
2044,"Biopower",0.00429294701515672
2044,"Land-based Wind",0.159922186679315
2044,"Offshore Wind",0.00504193826132957
2044,"CSP",0.000853383992266106
2044,"Utility PV",0.139318111940753
2044,"Rooftop PV",0.0228827579596176
2046,"Nuclear",0.145149920555799
2046,"Coal",0.16619815476782
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.260095759326942
2046,"NG-CT",0.000177031496678075
2046,"Hydro",0.0590032773097961
2046,"Imports",0.00970104747673338
2046,"Geothermal",0.00804909589767764
2046,"Biopower",0.00400688725893121
2046,"Land-based Wind",0.170871074688733
2046,"Offshore Wind",0.00492069223001365
2046,"CSP",0.000742802026278602
2046,"Utility PV",0.147555895554787
2046,"Rooftop PV",0.02352836140981
2048,"Nuclear",0.142268379438211
2048,"Coal",0.157541553993668
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.257143869683376
2048,"NG-CT",9.33236699696697e-05
2048,"Hydro",0.0578581747934256
2048,"Imports",0.00950846061839516
2048,"Geothermal",0.00904346547663762
2048,"Biopower",0.00372611080071871
2048,"Land-based Wind",0.177436443724538
2048,"Offshore Wind",0.00482380102963615
2048,"CSP",0.00072755533675929
2048,"Utility PV",0.15592847349207
2048,"Rooftop PV",0.0239003879425947
2050,"Nuclear",0.13520312576102
2050,"Coal",0.140152360358681
2050,"Oil-Gas-Steam",0
