"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86072031302,"withdrawal"
"AL",2014,1612.98491103958,"withdrawal"
"AL",2016,1372.48071777734,"withdrawal"
"AL",2018,1366.45321328936,"withdrawal"
"AL",2020,1368.16644400576,"withdrawal"
"AL",2022,1414.02065110239,"withdrawal"
"AL",2024,1412.83249147589,"withdrawal"
"AL",2026,1416.74623296993,"withdrawal"
"AL",2028,1450.82723784522,"withdrawal"
"AL",2030,1443.15165878473,"withdrawal"
"AL",2032,1434.47415787092,"withdrawal"
"AL",2034,1417.10986596943,"withdrawal"
"AL",2036,1415.31971521992,"withdrawal"
"AL",2038,1411.67939907478,"withdrawal"
"AL",2040,1412.94566349306,"withdrawal"
"AL",2042,1411.31105976953,"withdrawal"
"AL",2044,1365.12448143712,"withdrawal"
"AL",2046,1367.19993384342,"withdrawal"
"AL",2048,1369.46718972922,"withdrawal"
"AL",2050,1326.38999894022,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.2248114723475,"withdrawal"
"AR",2014,71.5357279857399,"withdrawal"
"AR",2016,35.865089338962,"withdrawal"
"AR",2018,34.12820331014,"withdrawal"
"AR",2020,37.7324659803863,"withdrawal"
"AR",2022,34.7436753828462,"withdrawal"
"AR",2024,40.4064683594886,"withdrawal"
"AR",2026,42.5204523361504,"withdrawal"
"AR",2028,41.638973788252,"withdrawal"
"AR",2030,41.7492061318403,"withdrawal"
"AR",2032,41.7829479991917,"withdrawal"
"AR",2034,40.4027463099056,"withdrawal"
"AR",2036,36.8976338601469,"withdrawal"
"AR",2038,35.1022733827862,"withdrawal"
"AR",2040,34.299950880892,"withdrawal"
"AR",2042,33.86153704334,"withdrawal"
"AR",2044,30.0256153073032,"withdrawal"
"AR",2046,29.8963550462776,"withdrawal"
"AR",2048,23.8226759739188,"withdrawal"
"AR",2050,24.6541440990497,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.973790427916,"withdrawal"
"AZ",2014,113.927006541336,"withdrawal"
"AZ",2016,88.881713287536,"withdrawal"
"AZ",2018,88.3014482518241,"withdrawal"
"AZ",2020,87.1791219330962,"withdrawal"
"AZ",2022,87.3272343509331,"withdrawal"
"AZ",2024,87.3771395628927,"withdrawal"
"AZ",2026,87.2517156907529,"withdrawal"
"AZ",2028,86.8905866365056,"withdrawal"
"AZ",2030,71.0561567344697,"withdrawal"
"AZ",2032,73.2322539990253,"withdrawal"
"AZ",2034,60.3532440211819,"withdrawal"
"AZ",2036,61.1086015380525,"withdrawal"
"AZ",2038,61.8801332200791,"withdrawal"
"AZ",2040,62.0321160061505,"withdrawal"
"AZ",2042,60.9500263448251,"withdrawal"
"AZ",2044,60.1630666624542,"withdrawal"
"AZ",2046,59.6405328171145,"withdrawal"
"AZ",2048,58.9614896887406,"withdrawal"
"AZ",2050,58.0651719977984,"withdrawal"
"CA",2010,1826.27020748746,"withdrawal"
"CA",2012,1805.40356353772,"withdrawal"
"CA",2014,1069.82893344415,"withdrawal"
"CA",2016,1067.78980919385,"withdrawal"
"CA",2018,1046.15842460561,"withdrawal"
"CA",2020,1037.97817108036,"withdrawal"
"CA",2022,1023.73210092096,"withdrawal"
"CA",2024,599.601057487574,"withdrawal"
"CA",2026,180.715185080769,"withdrawal"
"CA",2028,172.69270189699,"withdrawal"
"CA",2030,157.547968889072,"withdrawal"
"CA",2032,154.118439052985,"withdrawal"
"CA",2034,161.854737815405,"withdrawal"
"CA",2036,154.564363505638,"withdrawal"
"CA",2038,155.715235429252,"withdrawal"
"CA",2040,130.209671289529,"withdrawal"
"CA",2042,105.036548083547,"withdrawal"
"CA",2044,97.5815847389262,"withdrawal"
"CA",2046,98.8956577230144,"withdrawal"
"CA",2048,86.846805635762,"withdrawal"
"CA",2050,73.1301371905145,"withdrawal"
"CO",2010,78.1191748138446,"withdrawal"
"CO",2012,74.3782910816556,"withdrawal"
"CO",2014,74.6330461693972,"withdrawal"
"CO",2016,68.8373633400276,"withdrawal"
"CO",2018,54.1529699647379,"withdrawal"
"CO",2020,53.0100984481481,"withdrawal"
"CO",2022,52.8217785200322,"withdrawal"
"CO",2024,53.7494456503414,"withdrawal"
"CO",2026,54.6485328708599,"withdrawal"
"CO",2028,54.6646600979863,"withdrawal"
"CO",2030,54.8561670436449,"withdrawal"
"CO",2032,52.4539559550136,"withdrawal"
"CO",2034,52.1616632002907,"withdrawal"
"CO",2036,45.9544470729649,"withdrawal"
"CO",2038,45.2224528367941,"withdrawal"
"CO",2040,19.9217873796867,"withdrawal"
"CO",2042,18.7467840621388,"withdrawal"
"CO",2044,18.4074967205416,"withdrawal"
"CO",2046,18.358277843774,"withdrawal"
"CO",2048,18.404710137787,"withdrawal"
"CO",2050,16.6360434932317,"withdrawal"
"CT",2010,771.75470615105,"withdrawal"
"CT",2012,738.126300718832,"withdrawal"
"CT",2014,845.826867798944,"withdrawal"
"CT",2016,773.091493058188,"withdrawal"
"CT",2018,755.430028955909,"withdrawal"
"CT",2020,740.587606089403,"withdrawal"
"CT",2022,740.623502794328,"withdrawal"
"CT",2024,740.56341178363,"withdrawal"
"CT",2026,740.478238165046,"withdrawal"
"CT",2028,740.466581109219,"withdrawal"
"CT",2030,740.362758136604,"withdrawal"
"CT",2032,740.376575134439,"withdrawal"
"CT",2034,740.33273979336,"withdrawal"
"CT",2036,740.313375783522,"withdrawal"
"CT",2038,740.26356863124,"withdrawal"
"CT",2040,740.172421664269,"withdrawal"
"CT",2042,740.088288367324,"withdrawal"
"CT",2044,739.433149921248,"withdrawal"
"CT",2046,738.643079053549,"withdrawal"
"CT",2048,738.086679733314,"withdrawal"
"CT",2050,736.859825058294,"withdrawal"
"DE",2010,65.8356854091297,"withdrawal"
"DE",2012,44.6829532556568,"withdrawal"
"DE",2014,3.22277127802759,"withdrawal"
"DE",2016,4.18742414085433,"withdrawal"
"DE",2018,3.60298158749065,"withdrawal"
"DE",2020,3.53201425642941,"withdrawal"
"DE",2022,3.68828730291553,"withdrawal"
"DE",2024,3.54740254492819,"withdrawal"
"DE",2026,3.54745090754648,"withdrawal"
"DE",2028,3.54749792269867,"withdrawal"
"DE",2030,3.51350457234588,"withdrawal"
"DE",2032,3.6031521327274,"withdrawal"
"DE",2034,3.61805621718939,"withdrawal"
"DE",2036,3.5872557816168,"withdrawal"
"DE",2038,3.614697453433,"withdrawal"
"DE",2040,3.51851786704204,"withdrawal"
"DE",2042,3.42095845351792,"withdrawal"
"DE",2044,3.4039725216334,"withdrawal"
"DE",2046,3.29842352166271,"withdrawal"
"DE",2048,3.27866556957051,"withdrawal"
"DE",2050,3.16789499224132,"withdrawal"
"FL",2010,2258.1770766635,"withdrawal"
"FL",2012,1901.89653155354,"withdrawal"
"FL",2014,1969.28422220445,"withdrawal"
"FL",2016,1929.7274588491,"withdrawal"
"FL",2018,1695.14158484698,"withdrawal"
"FL",2020,1673.45036705546,"withdrawal"
"FL",2022,1628.61267447972,"withdrawal"
"FL",2024,1773.89820922428,"withdrawal"
"FL",2026,1793.22351495654,"withdrawal"
"FL",2028,1911.65963807785,"withdrawal"
"FL",2030,1896.1405497883,"withdrawal"
"FL",2032,1822.56857884837,"withdrawal"
"FL",2034,1777.93016493171,"withdrawal"
"FL",2036,1747.15298543087,"withdrawal"
"FL",2038,1633.54026939105,"withdrawal"
"FL",2040,1630.00418859389,"withdrawal"
