"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789002266
2018,"comp_p",31.832871488234
2020,"comp_p",35.6523735861552
2022,"comp_p",34.4603286900071
2024,"comp_p",35.8143771990577
2026,"comp_p",35.5546226103274
2028,"comp_p",34.3826201397543
2030,"comp_p",33.2772220251219
2032,"comp_p",32.5206296905823
2034,"comp_p",31.8564610840624
2036,"comp_p",32.0616299196884
2038,"comp_p",32.0860539343021
2040,"comp_p",32.5476927534642
2042,"comp_p",32.3871481462798
2044,"comp_p",33.3191658227648
2046,"comp_p",33.3314371109741
2048,"comp_p",34.0096022903687
2050,"comp_p",34.0304190584764
