"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956156306571
2016,"USA","Coal Usage (Quads)",11.3967689778028
2016,"USA","Coal Price (2016$/MMBtu)",2.1540041874171
2016,"USA","Gas Price (2016$/MMBtu)",2.98253222442591
2018,"USA","Gas Usage (Quads)",9.64561431215969
2018,"USA","Coal Usage (Quads)",11.1768488573768
2018,"USA","Coal Price (2016$/MMBtu)",2.13694625691112
2018,"USA","Gas Price (2016$/MMBtu)",3.51544955564692
2020,"USA","Gas Usage (Quads)",9.51639470915485
2020,"USA","Coal Usage (Quads)",11.0237699709775
2020,"USA","Coal Price (2016$/MMBtu)",2.2276752749987
2020,"USA","Gas Price (2016$/MMBtu)",4.0457451024246
2022,"USA","Gas Usage (Quads)",9.10319012209223
2022,"USA","Coal Usage (Quads)",9.76438481711246
2022,"USA","Coal Price (2016$/MMBtu)",2.2308720620402
2022,"USA","Gas Price (2016$/MMBtu)",3.92367994448067
2024,"USA","Gas Usage (Quads)",8.83352771572007
2024,"USA","Coal Usage (Quads)",10.432555974287
2024,"USA","Coal Price (2016$/MMBtu)",2.23558205209151
2024,"USA","Gas Price (2016$/MMBtu)",4.10120063177296
2026,"USA","Gas Usage (Quads)",8.14872855984715
2026,"USA","Coal Usage (Quads)",9.74331210551923
2026,"USA","Coal Price (2016$/MMBtu)",2.25543363957648
2026,"USA","Gas Price (2016$/MMBtu)",4.11932976017105
2028,"USA","Gas Usage (Quads)",7.78962744146359
2028,"USA","Coal Usage (Quads)",7.98507928776604
2028,"USA","Coal Price (2016$/MMBtu)",2.24650618228076
2028,"USA","Gas Price (2016$/MMBtu)",4.04160250832154
2030,"USA","Gas Usage (Quads)",7.09977218318381
2030,"USA","Coal Usage (Quads)",5.6295196726304
2030,"USA","Coal Price (2016$/MMBtu)",2.25068597497733
2030,"USA","Gas Price (2016$/MMBtu)",3.94405771469434
2032,"USA","Gas Usage (Quads)",7.03415622691554
2032,"USA","Coal Usage (Quads)",3.98610400223036
2032,"USA","Coal Price (2016$/MMBtu)",2.21143804750025
2032,"USA","Gas Price (2016$/MMBtu)",3.92376246267971
2034,"USA","Gas Usage (Quads)",7.13159375204168
2034,"USA","Coal Usage (Quads)",2.92503323464764
2034,"USA","Coal Price (2016$/MMBtu)",2.18018988624518
2034,"USA","Gas Price (2016$/MMBtu)",3.92437959805413
2036,"USA","Gas Usage (Quads)",7.47787785487821
2036,"USA","Coal Usage (Quads)",2.40585847104933
2036,"USA","Coal Price (2016$/MMBtu)",2.17433424979933
2036,"USA","Gas Price (2016$/MMBtu)",4.07468116632225
2038,"USA","Gas Usage (Quads)",7.56020331986127
2038,"USA","Coal Usage (Quads)",2.03194592275524
2038,"USA","Coal Price (2016$/MMBtu)",2.19729022285023
2038,"USA","Gas Price (2016$/MMBtu)",4.13356760412276
2040,"USA","Gas Usage (Quads)",7.7265601524996
2040,"USA","Coal Usage (Quads)",1.81211791704182
2040,"USA","Coal Price (2016$/MMBtu)",2.21271569741994
2040,"USA","Gas Price (2016$/MMBtu)",4.22052159893365
2042,"USA","Gas Usage (Quads)",7.72206639765747
2042,"USA","Coal Usage (Quads)",1.63031406965633
2042,"USA","Coal Price (2016$/MMBtu)",2.22082618515245
2042,"USA","Gas Price (2016$/MMBtu)",4.24579018736071
2044,"USA","Gas Usage (Quads)",7.72144870259046
2044,"USA","Coal Usage (Quads)",1.52660720365004
2044,"USA","Coal Price (2016$/MMBtu)",2.23295843719448
2044,"USA","Gas Price (2016$/MMBtu)",4.3284775310011
2046,"USA","Gas Usage (Quads)",7.72390512522275
2046,"USA","Coal Usage (Quads)",1.40003629377347
2046,"USA","Coal Price (2016$/MMBtu)",2.24758313898074
2046,"USA","Gas Price (2016$/MMBtu)",4.38434933191478
2048,"USA","Gas Usage (Quads)",7.72780617230912
2048,"USA","Coal Usage (Quads)",1.39602123035201
2048,"USA","Coal Price (2016$/MMBtu)",2.25560983970667
2048,"USA","Gas Price (2016$/MMBtu)",4.4804783031916
2050,"USA","Gas Usage (Quads)",7.68882274450274
2050,"USA","Coal Usage (Quads)",1.32261153554534
2050,"USA","Coal Price (2016$/MMBtu)",2.27504296363819
2050,"USA","Gas Price (2016$/MMBtu)",4.58294214970464
