"gid","time","tech","value"
"AL",2010,"Nuclear",0.277037073929529
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0150274872904719
"AL",2010,"NG-CT",0.000682087318145734
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.83202306647042e-07
"AL",2010,"Coal",0.173534389733753
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.464614433385151
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0691039451406421
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.56661457353873e-07
"AL",2012,"Nuclear",0.311932183110717
"AL",2012,"Coal",0.0454037779485606
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.56651543609925
"AL",2012,"Biopower",0.0146722533865975
"AL",2012,"Hydro",0.0607076909400793
"AL",2012,"NG-CT",0.000768001853338426
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0820255425449477
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0134429535204279
"AL",2014,"Nuclear",0.309820469156721
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.0004187100379975
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",6.52216000175595e-07
"AL",2014,"Coal",0.115776781869954
"AL",2014,"NG-CC",0.478505824897612
"AL",2014,"Rooftop PV",9.06575634056439e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.312682943561116
"AL",2016,"Coal",0.0539127384065378
"AL",2016,"Utility PV",0.000480533036912036
"AL",2016,"NG-CC",0.556736818830424
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.7889278711047e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.0640338776849636
"AL",2016,"NG-CT",0.000769850285300687
"AL",2016,"Biopower",0.01136469067412
"AL",2016,"Land-based Wind",6.58241914511473e-07
"AL",2018,"Hydro",0.0665853014777507
"AL",2018,"Biopower",0.0141077368374397
"AL",2018,"Nuclear",0.325141765838372
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",5.82849108446143e-05
"AL",2018,"Utility PV",0.00318150110950313
"AL",2018,"NG-CC",0.540692854085053
"AL",2018,"Land-based Wind",6.84469501264174e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.000800524897018936
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0494313463745161
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.000557482448635285
"AL",2020,"Utility PV",0.00315221828257578
"AL",2020,"Coal",0.0659480280454844
"AL",2020,"Rooftop PV",8.76546738579178e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.068810395930669
"AL",2020,"NG-CC",0.518819897163574
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0173193967183985
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.325304241925269
"AL",2020,"Land-based Wind",6.84811536455743e-07
"AL",2022,"NG-CC",0.462921398096516
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",0.000123180690332395
"AL",2022,"Coal",0.0890550209918749
"AL",2022,"Nuclear",0.350467420319337
"AL",2022,"NG-CT",0.000734129325384794
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0192028679286473
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00336217543291829
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",7.37783593494304e-07
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0741330694313963
"AL",2024,"Coal",0.0939254978384476
"AL",2024,"Utility PV",0.00343159738008424
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",0.000151704696460229
"AL",2024,"Biopower",0.0197968508047754
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.000756837404707235
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.44420252435933
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",7.60604706593256e-07
"AL",2024,"Hydro",0.0764261526292127
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.361308074282276
"AL",2026,"Coal",0.139643898554772
"AL",2026,"Biopower",0.0195557347932215
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",0.000193263672781129
"AL",2026,"NG-CT",0.000747619493322368
"AL",2026,"Land-based Wind",7.51340911304226e-07
"AL",2026,"Utility PV",0.0134778356940617
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0754953192718222
"AL",2026,"NG-CC",0.393978059463747
"AL",2026,"Nuclear",0.356907517715362
"AL",2028,"Utility PV",0.0271624721305964
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0188001466335984
"AL",2028,"Rooftop PV",0.000280928995606823
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",7.22239794898396e-07
"AL",2028,"Coal",0.134248382741776
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.000463709569947904
"AL",2028,"Nuclear",0.343117440414884
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0725783555293746
"AL",2028,"NG-CC",0.403347841744422
"AL",2030,"Utility PV",0.0588527941549919
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0219729949051804
"AL",2030,"Land-based Wind",8.43713868417224e-07
"AL",2030,"Rooftop PV",0.000620784397074826
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000541968539742099
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.401024413109682
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0852929184838341
"AL",2030,"Coal",0.156637942480049
"AL",2030,"NG-CC",0.275055340215578
"AL",2032,"Utility PV",0.0553276181227016
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0209998498968881
"AL",2032,"Rooftop PV",0.00127470621916217
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",0
"AL",2032,"Nuclear",0.383263752466693
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0.000517965713482983
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.11444406718077
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0815154462628919
"AL",2032,"NG-CC",0.34265659413741
"AL",2034,"Utility PV",0.0511770080088927
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0197136976694811
"AL",2034,"Land-based Wind",7.92052872720342e-05
"AL",2034,"NG-CC",0.409669554539869
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",0.00231825309230459
"AL",2034,"NG-CT",0.000486242498346322
"AL",2034,"Hydro",0.0765229690169174
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.359790464260359
"AL",2034,"Coal",0.0802426056265572
"AL",2036,"Land-based Wind",0.000176359286671794
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0.000464026282702733
"AL",2036,"Utility PV",0.0493222045161231
"AL",2036,"Hydro",0.074434355014119
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0191145233576187
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.34885506251827
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",0.00341295907390214
"AL",2036,"Coal",0.0388641966219337
"AL",2036,"NG-CC",0.465356313328658
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0.000460150818493326
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",0.00415349871716645
"AL",2038,"NG-CC",0.475882712013865
"AL",2038,"Biopower",0.0186558644071477
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.072648279446812
"AL",2038,"Nuclear",0.340484176472747
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",0.000172094756562313
"AL",2038,"Coal",0.039917822045592
"AL",2038,"Utility PV",0.047625401321614
"AL",2040,"Imports",0
"AL",2040,"Rooftop PV",0.00449096992966341
"AL",2040,"Land-based Wind",0.000162634159383521
"AL",2040,"Geothermal",0
"AL",2040,"NG-CT",0
"AL",2040,"Biopower",0.0143291546726616
"AL",2040,"Utility PV",0.0446515316817923
"AL",2040,"Offshore Wind",0
"AL",2040,"Hydro",0.0685742123570787
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"NG-CC",0.514736759641219
"AL",2040,"CSP",0
"AL",2040,"Nuclear",0.321390050796197
"AL",2040,"Coal",0.0316646867620044
"AL",2042,"NG-CT",0
"AL",2042,"Hydro",0.0665869528068622
"AL",2042,"CSP",0
"AL",2042,"Land-based Wind",0.000158057072419872
"AL",2042,"Biopower",0.00997085022136974
"AL",2042,"Imports",0
"AL",2042,"Utility PV",0.0542396642740245
"AL",2042,"NG-CC",0.521539733494167
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"Rooftop PV",0.00468142211091104
"AL",2042,"Nuclear",0.31207626612648
"AL",2042,"Geothermal",0
"AL",2042,"Coal",0.0307470538937661
"AL",2042,"Offshore Wind",0
"AL",2044,"Imports",0
"AL",2044,"Geothermal",0
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"NG-CT",0
"AL",2044,"Hydro",0.0643657974228351
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Land-based Wind",0.000277665284908146
"AL",2044,"Rooftop PV",0.00475876921862223
"AL",2044,"Utility PV",0.0590973185073984
"AL",2044,"NG-CC",0.520953680279227
"AL",2044,"Nuclear",0.301666270631649
