"gid","time","value","type"
"AL",2010,1777.88569239787,"withdrawal"
"AL",2012,1308.86072031302,"withdrawal"
"AL",2014,1612.98481374926,"withdrawal"
"AL",2016,1372.48087992395,"withdrawal"
"AL",2018,1366.4570928919,"withdrawal"
"AL",2020,1387.84206809303,"withdrawal"
"AL",2022,1413.25581046448,"withdrawal"
"AL",2024,1412.75946555621,"withdrawal"
"AL",2026,1413.24131874425,"withdrawal"
"AL",2028,1409.91745737053,"withdrawal"
"AL",2030,1361.07473533844,"withdrawal"
"AL",2032,1320.81058374594,"withdrawal"
"AL",2034,1239.04842401906,"withdrawal"
"AL",2036,1224.36718601691,"withdrawal"
"AL",2038,1221.69780418973,"withdrawal"
"AL",2040,1220.76376825273,"withdrawal"
"AL",2042,1166.01632779745,"withdrawal"
"AL",2044,1149.63735594462,"withdrawal"
"AL",2046,1085.42980600079,"withdrawal"
"AL",2048,986.774364838964,"withdrawal"
"AL",2050,906.354574257076,"withdrawal"
"AR",2010,74.1955489222826,"withdrawal"
"AR",2012,50.2248114723694,"withdrawal"
"AR",2014,71.5357288051505,"withdrawal"
"AR",2016,35.8924224770606,"withdrawal"
"AR",2018,34.012576114303,"withdrawal"
"AR",2020,38.7998865033921,"withdrawal"
"AR",2022,38.3900314527729,"withdrawal"
"AR",2024,41.5702845765525,"withdrawal"
"AR",2026,38.4770953465541,"withdrawal"
"AR",2028,34.1047893887901,"withdrawal"
"AR",2030,28.1651935422281,"withdrawal"
"AR",2032,23.861024677018,"withdrawal"
"AR",2034,23.6604488640942,"withdrawal"
"AR",2036,22.2698066967335,"withdrawal"
"AR",2038,19.8717788924953,"withdrawal"
"AR",2040,14.3977753583167,"withdrawal"
"AR",2042,13.3396008629977,"withdrawal"
"AR",2044,13.1080485723166,"withdrawal"
"AR",2046,11.4035215335989,"withdrawal"
"AR",2048,7.92102450191955,"withdrawal"
"AR",2050,10.046313648684,"withdrawal"
"AZ",2010,112.432427834151,"withdrawal"
"AZ",2012,113.973784972494,"withdrawal"
"AZ",2014,113.927008929273,"withdrawal"
"AZ",2016,88.8817129121423,"withdrawal"
"AZ",2018,88.3007068538614,"withdrawal"
"AZ",2020,71.2918103351695,"withdrawal"
"AZ",2022,71.9849808495527,"withdrawal"
"AZ",2024,59.3224742475701,"withdrawal"
"AZ",2026,59.2514153420312,"withdrawal"
"AZ",2028,59.5953657857517,"withdrawal"
"AZ",2030,58.3748457707537,"withdrawal"
"AZ",2032,56.8989406289345,"withdrawal"
"AZ",2034,54.4519261861706,"withdrawal"
"AZ",2036,50.5221730096922,"withdrawal"
"AZ",2038,42.6151594174799,"withdrawal"
"AZ",2040,33.679005422089,"withdrawal"
"AZ",2042,31.0223964564768,"withdrawal"
"AZ",2044,28.5140353996009,"withdrawal"
"AZ",2046,27.9581198071541,"withdrawal"
"AZ",2048,27.4692458431754,"withdrawal"
"AZ",2050,27.2883518741746,"withdrawal"
"CA",2010,1826.27020748746,"withdrawal"
"CA",2012,1805.40336977834,"withdrawal"
"CA",2014,1069.82892306818,"withdrawal"
"CA",2016,1067.78980989868,"withdrawal"
"CA",2018,1046.12468230231,"withdrawal"
"CA",2020,1049.05349633086,"withdrawal"
"CA",2022,1048.72303991,"withdrawal"
"CA",2024,632.514290668734,"withdrawal"
"CA",2026,182.996343659514,"withdrawal"
"CA",2028,183.486828596787,"withdrawal"
"CA",2030,186.837329489135,"withdrawal"
"CA",2032,175.733819197026,"withdrawal"
"CA",2034,175.620094939144,"withdrawal"
"CA",2036,150.769185631762,"withdrawal"
"CA",2038,146.20235892572,"withdrawal"
"CA",2040,128.120804987963,"withdrawal"
"CA",2042,125.396091551614,"withdrawal"
"CA",2044,109.286742943031,"withdrawal"
"CA",2046,121.428025759454,"withdrawal"
"CA",2048,126.024948182296,"withdrawal"
"CA",2050,119.812995949071,"withdrawal"
"CO",2010,78.1191748138269,"withdrawal"
"CO",2012,74.3782910816557,"withdrawal"
"CO",2014,74.6330461878047,"withdrawal"
"CO",2016,68.837365449054,"withdrawal"
"CO",2018,54.1304333356817,"withdrawal"
"CO",2020,52.9844914330382,"withdrawal"
"CO",2022,51.335609584576,"withdrawal"
"CO",2024,51.8913413891823,"withdrawal"
"CO",2026,44.9577787137989,"withdrawal"
"CO",2028,44.2568834485474,"withdrawal"
"CO",2030,18.2001611681377,"withdrawal"
"CO",2032,16.3023160997622,"withdrawal"
"CO",2034,15.0189851977658,"withdrawal"
"CO",2036,11.1861887086484,"withdrawal"
"CO",2038,7.5757013405316,"withdrawal"
"CO",2040,4.56804065857986,"withdrawal"
"CO",2042,2.85818818658508,"withdrawal"
"CO",2044,2.10233587015719,"withdrawal"
"CO",2046,1.81263073496307,"withdrawal"
"CO",2048,1.23305465827633,"withdrawal"
"CO",2050,0.9556079695806,"withdrawal"
"CT",2010,771.75470615105,"withdrawal"
"CT",2012,738.126300718832,"withdrawal"
"CT",2014,845.826867798944,"withdrawal"
"CT",2016,773.091493058188,"withdrawal"
"CT",2018,755.430030069327,"withdrawal"
"CT",2020,740.587611722739,"withdrawal"
"CT",2022,740.623840280629,"withdrawal"
"CT",2024,740.563999285551,"withdrawal"
"CT",2026,740.501169741485,"withdrawal"
"CT",2028,740.397207356699,"withdrawal"
"CT",2030,740.259666987939,"withdrawal"
"CT",2032,740.103347068466,"withdrawal"
"CT",2034,739.33158998239,"withdrawal"
"CT",2036,433.127795039274,"withdrawal"
"CT",2038,432.779082273528,"withdrawal"
"CT",2040,432.07528150647,"withdrawal"
"CT",2042,431.687972158547,"withdrawal"
"CT",2044,416.485145902549,"withdrawal"
"CT",2046,2.10640712454921,"withdrawal"
"CT",2048,2.22968993273332,"withdrawal"
"CT",2050,2.06308614596222,"withdrawal"
"DE",2010,65.8356854091297,"withdrawal"
"DE",2012,44.6829532556478,"withdrawal"
"DE",2014,3.2227712819233,"withdrawal"
"DE",2016,4.18740885535047,"withdrawal"
"DE",2018,3.6029816709843,"withdrawal"
"DE",2020,3.50278580915149,"withdrawal"
"DE",2022,3.68828753925994,"withdrawal"
"DE",2024,3.68832789422805,"withdrawal"
"DE",2026,3.60316223949115,"withdrawal"
"DE",2028,3.62356959177665,"withdrawal"
"DE",2030,2.94125411489416,"withdrawal"
"DE",2032,2.23307102495809,"withdrawal"
"DE",2034,0.662555863037099,"withdrawal"
"DE",2036,0.249610831212332,"withdrawal"
"DE",2038,0.195318189358006,"withdrawal"
"DE",2040,0.212716253599998,"withdrawal"
"DE",2042,0.153656582015614,"withdrawal"
"DE",2044,0.148073539215497,"withdrawal"
"DE",2046,0.134979580127171,"withdrawal"
"DE",2048,0.122175232429301,"withdrawal"
"DE",2050,0.09414628938826,"withdrawal"
"FL",2010,2258.17707666351,"withdrawal"
"FL",2012,1901.89653155627,"withdrawal"
"FL",2014,1969.28422254365,"withdrawal"
"FL",2016,1930.51776950978,"withdrawal"
"FL",2018,1696.21190376776,"withdrawal"
"FL",2020,1681.9312205653,"withdrawal"
"FL",2022,1671.31210243909,"withdrawal"
"FL",2024,1781.63028333555,"withdrawal"
"FL",2026,1733.87695901409,"withdrawal"
"FL",2028,1504.73764982242,"withdrawal"
"FL",2030,1493.40519778925,"withdrawal"
"FL",2032,1452.87804196079,"withdrawal"
"FL",2034,1393.08382143349,"withdrawal"
"FL",2036,1334.19768181956,"withdrawal"
"FL",2038,1212.74330816359,"withdrawal"
"FL",2040,1203.55315491678,"withdrawal"
"FL",2042,1232.84029395231,"withdrawal"
"FL",2044,1228.5388237656,"withdrawal"
"FL",2046,1235.69345801689,"withdrawal"
"FL",2048,1248.22408982455,"withdrawal"
