"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956158759482
2016,"USA","Coal Usage (Quads)",11.396768686959
2016,"USA","Coal Price (2016$/MMBtu)",2.15400416922185
2016,"USA","Gas Price (2016$/MMBtu)",2.98253227747982
2018,"USA","Gas Usage (Quads)",9.65506562709875
2018,"USA","Coal Usage (Quads)",11.1964071594205
2018,"USA","Coal Price (2016$/MMBtu)",2.13716499658184
2018,"USA","Gas Price (2016$/MMBtu)",3.51731919300766
2020,"USA","Gas Usage (Quads)",9.55198756480495
2020,"USA","Coal Usage (Quads)",11.1351400092101
2020,"USA","Coal Price (2016$/MMBtu)",2.22783820832811
2020,"USA","Gas Price (2016$/MMBtu)",4.05287822538851
2022,"USA","Gas Usage (Quads)",9.55610341030047
2022,"USA","Coal Usage (Quads)",10.671221221704
2022,"USA","Coal Price (2016$/MMBtu)",2.22716204422795
2022,"USA","Gas Price (2016$/MMBtu)",4.00940826922867
2024,"USA","Gas Usage (Quads)",8.36923208813451
2024,"USA","Coal Usage (Quads)",9.79889425274765
2024,"USA","Coal Price (2016$/MMBtu)",2.23213259162502
2024,"USA","Gas Price (2016$/MMBtu)",4.00952478736255
2026,"USA","Gas Usage (Quads)",7.54474579152244
2026,"USA","Coal Usage (Quads)",7.54119863724171
2026,"USA","Coal Price (2016$/MMBtu)",2.23738578751888
2026,"USA","Gas Price (2016$/MMBtu)",3.98826377109931
2028,"USA","Gas Usage (Quads)",7.27356660238083
2028,"USA","Coal Usage (Quads)",6.21826533729741
2028,"USA","Coal Price (2016$/MMBtu)",2.22902306794935
2028,"USA","Gas Price (2016$/MMBtu)",3.92434458289366
2030,"USA","Gas Usage (Quads)",6.94720875233547
2030,"USA","Coal Usage (Quads)",4.98428986133923
2030,"USA","Coal Price (2016$/MMBtu)",2.23102065690244
2030,"USA","Gas Price (2016$/MMBtu)",3.89343181206795
2032,"USA","Gas Usage (Quads)",7.56997475139756
2032,"USA","Coal Usage (Quads)",4.89577144627138
2032,"USA","Coal Price (2016$/MMBtu)",2.23236088736319
2032,"USA","Gas Price (2016$/MMBtu)",4.01711955524886
2034,"USA","Gas Usage (Quads)",8.24556160255171
2034,"USA","Coal Usage (Quads)",4.59258975425298
2034,"USA","Coal Price (2016$/MMBtu)",2.23789757549908
2034,"USA","Gas Price (2016$/MMBtu)",4.13596666663143
2036,"USA","Gas Usage (Quads)",8.61634234046685
2036,"USA","Coal Usage (Quads)",4.79131223349664
2036,"USA","Coal Price (2016$/MMBtu)",2.26118706853003
2036,"USA","Gas Price (2016$/MMBtu)",4.29395812144243
2038,"USA","Gas Usage (Quads)",9.00670304972972
2038,"USA","Coal Usage (Quads)",4.84135041770466
2038,"USA","Coal Price (2016$/MMBtu)",2.28532546882695
2038,"USA","Gas Price (2016$/MMBtu)",4.42532590815982
2040,"USA","Gas Usage (Quads)",9.34761928570242
2040,"USA","Coal Usage (Quads)",4.77552796536079
2040,"USA","Coal Price (2016$/MMBtu)",2.30635031039467
2040,"USA","Gas Price (2016$/MMBtu)",4.53983321623579
2042,"USA","Gas Usage (Quads)",9.68342566810801
2042,"USA","Coal Usage (Quads)",4.77364377388151
2042,"USA","Coal Price (2016$/MMBtu)",2.32722831643882
2042,"USA","Gas Price (2016$/MMBtu)",4.64539994519291
2044,"USA","Gas Usage (Quads)",9.97958532211853
2044,"USA","Coal Usage (Quads)",4.70513261224679
2044,"USA","Coal Price (2016$/MMBtu)",2.33999281442111
2044,"USA","Gas Price (2016$/MMBtu)",4.79304023094853
2046,"USA","Gas Usage (Quads)",10.6426598335395
2046,"USA","Coal Usage (Quads)",4.32216431647102
2046,"USA","Coal Price (2016$/MMBtu)",2.36318009885772
2046,"USA","Gas Price (2016$/MMBtu)",4.98849868790326
2048,"USA","Gas Usage (Quads)",11.3869691247316
2048,"USA","Coal Usage (Quads)",3.813527432605
2048,"USA","Coal Price (2016$/MMBtu)",2.35734483822606
2048,"USA","Gas Price (2016$/MMBtu)",5.24252877510295
2050,"USA","Gas Usage (Quads)",11.3965523371094
2050,"USA","Coal Usage (Quads)",3.50920999168993
2050,"USA","Coal Price (2016$/MMBtu)",2.34908518852674
2050,"USA","Gas Price (2016$/MMBtu)",5.35770198980402
