"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02628724131
2016,"withdrawal",31418.7319282499
2018,"consumption",1209.25410042079
2018,"withdrawal",30020.0522826735
2020,"consumption",1192.91715190547
2020,"withdrawal",29054.6742548706
2022,"consumption",1159.55881225601
2022,"withdrawal",28081.6865357305
2024,"consumption",1087.39310619778
2024,"withdrawal",26330.390370805
2026,"consumption",959.350058252969
2026,"withdrawal",22541.1080307972
2028,"consumption",892.194924974454
2028,"withdrawal",20539.3658694513
2030,"consumption",812.515349503931
2030,"withdrawal",18479.6335342985
2032,"consumption",816.405784683782
2032,"withdrawal",17149.3753749273
2034,"consumption",826.904049367607
2034,"withdrawal",16169.3533543539
2036,"consumption",837.68452696287
2036,"withdrawal",15440.8682328687
2038,"consumption",843.065805192481
2038,"withdrawal",15230.6487096355
2040,"consumption",848.305724404211
2040,"withdrawal",14798.5535512852
2042,"consumption",846.165561399045
2042,"withdrawal",14699.2473227834
2044,"consumption",832.308101013048
2044,"withdrawal",14328.5006137896
2046,"consumption",795.182649738964
2046,"withdrawal",12505.7545743089
2048,"consumption",751.42463207117
2048,"withdrawal",11577.8553331752
2050,"consumption",719.541280549617
2050,"withdrawal",10926.4729982191
