"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12965312566008
2010,"USA","Coal Usage (Quads)",19.5851496643403
2010,"USA","Coal Price (2016$/MMBtu)",2.50904296590553
2010,"USA","Gas Price (2016$/MMBtu)",5.58898371388906
2012,"USA","Gas Usage (Quads)",9.10144003709223
2012,"USA","Coal Usage (Quads)",14.7464531356449
2012,"USA","Coal Price (2016$/MMBtu)",2.47781501012744
2012,"USA","Gas Price (2016$/MMBtu)",3.63853190758118
2014,"USA","Gas Usage (Quads)",7.93593362321693
2014,"USA","Coal Usage (Quads)",16.8982089051838
2014,"USA","Coal Price (2016$/MMBtu)",2.4147562513595
2014,"USA","Gas Price (2016$/MMBtu)",5.04386358296247
2016,"USA","Gas Usage (Quads)",10.8077987854017
2016,"USA","Coal Usage (Quads)",11.4153076715972
2016,"USA","Coal Price (2016$/MMBtu)",2.15466040151443
2016,"USA","Gas Price (2016$/MMBtu)",2.98536374968847
2018,"USA","Gas Usage (Quads)",9.65920281757428
2018,"USA","Coal Usage (Quads)",11.2363781939443
2018,"USA","Coal Price (2016$/MMBtu)",2.13775409449582
2018,"USA","Gas Price (2016$/MMBtu)",3.51772748499698
2020,"USA","Gas Usage (Quads)",9.59590196402751
2020,"USA","Coal Usage (Quads)",11.2115566282631
2020,"USA","Coal Price (2016$/MMBtu)",2.22823635285044
2020,"USA","Gas Price (2016$/MMBtu)",4.06030256940074
2022,"USA","Gas Usage (Quads)",9.59961187181594
2022,"USA","Coal Usage (Quads)",10.8340723210132
2022,"USA","Coal Price (2016$/MMBtu)",2.2293681613395
2022,"USA","Gas Price (2016$/MMBtu)",4.01704288847645
2024,"USA","Gas Usage (Quads)",9.17365492314046
2024,"USA","Coal Usage (Quads)",11.5333142676358
2024,"USA","Coal Price (2016$/MMBtu)",2.23848701450767
2024,"USA","Gas Price (2016$/MMBtu)",4.16300013587663
2026,"USA","Gas Usage (Quads)",8.84334226027403
2026,"USA","Coal Usage (Quads)",11.729806391726
2026,"USA","Coal Price (2016$/MMBtu)",2.26945618274455
2026,"USA","Gas Price (2016$/MMBtu)",4.24602296642636
2028,"USA","Gas Usage (Quads)",8.84160738557472
2028,"USA","Coal Usage (Quads)",11.3207738564954
2028,"USA","Coal Price (2016$/MMBtu)",2.26765368840182
2028,"USA","Gas Price (2016$/MMBtu)",4.24153822846493
2030,"USA","Gas Usage (Quads)",8.84651910280003
2030,"USA","Coal Usage (Quads)",10.5916410721273
2030,"USA","Coal Price (2016$/MMBtu)",2.28669653709954
2030,"USA","Gas Price (2016$/MMBtu)",4.27548369620536
2032,"USA","Gas Usage (Quads)",9.18441228281026
2032,"USA","Coal Usage (Quads)",10.3261838854531
2032,"USA","Coal Price (2016$/MMBtu)",2.28605139347175
2032,"USA","Gas Price (2016$/MMBtu)",4.34565381497794
2034,"USA","Gas Usage (Quads)",9.45772223033474
2034,"USA","Coal Usage (Quads)",9.82065586395271
2034,"USA","Coal Price (2016$/MMBtu)",2.29476044593207
2034,"USA","Gas Price (2016$/MMBtu)",4.38183029397202
2036,"USA","Gas Usage (Quads)",9.6508732000834
2036,"USA","Coal Usage (Quads)",9.34748999984408
2036,"USA","Coal Price (2016$/MMBtu)",2.30649575009587
2036,"USA","Gas Price (2016$/MMBtu)",4.49888068822574
2038,"USA","Gas Usage (Quads)",9.98487529764558
2038,"USA","Coal Usage (Quads)",8.89103631879569
2038,"USA","Coal Price (2016$/MMBtu)",2.32737666789658
2038,"USA","Gas Price (2016$/MMBtu)",4.61791139967901
2040,"USA","Gas Usage (Quads)",10.2829614197663
2040,"USA","Coal Usage (Quads)",8.41566638735135
2040,"USA","Coal Price (2016$/MMBtu)",2.35085479946124
2040,"USA","Gas Price (2016$/MMBtu)",4.72436939708632
2042,"USA","Gas Usage (Quads)",10.5086233215806
2042,"USA","Coal Usage (Quads)",8.04420518500156
2042,"USA","Coal Price (2016$/MMBtu)",2.36524151427949
2042,"USA","Gas Price (2016$/MMBtu)",4.80620548052074
2044,"USA","Gas Usage (Quads)",10.6538072534144
2044,"USA","Coal Usage (Quads)",7.47734253886265
2044,"USA","Coal Price (2016$/MMBtu)",2.37075273599272
2044,"USA","Gas Price (2016$/MMBtu)",4.92693635717029
2046,"USA","Gas Usage (Quads)",11.0459631831121
2046,"USA","Coal Usage (Quads)",6.73377248555664
2046,"USA","Coal Price (2016$/MMBtu)",2.39113061431047
2046,"USA","Gas Price (2016$/MMBtu)",5.06386699012514
2048,"USA","Gas Usage (Quads)",11.2707190755691
2048,"USA","Coal Usage (Quads)",5.90034454594448
2048,"USA","Coal Price (2016$/MMBtu)",2.38791541168824
2048,"USA","Gas Price (2016$/MMBtu)",5.21592521408556
2050,"USA","Gas Usage (Quads)",11.2263162634725
2050,"USA","Coal Usage (Quads)",5.24856124913572
2050,"USA","Coal Price (2016$/MMBtu)",2.38041928080375
2050,"USA","Gas Price (2016$/MMBtu)",5.31930538865527
