"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02629032674
2016,"withdrawal",31418.7327537417
2018,"consumption",1209.25442332425
2018,"withdrawal",30020.0637132676
2020,"consumption",1192.88985852563
2020,"withdrawal",29055.5859995171
2022,"consumption",1161.88401645642
2022,"withdrawal",28136.0576216389
2024,"consumption",1187.63403984484
2024,"withdrawal",28388.2820912364
2026,"consumption",1183.81474431004
2026,"withdrawal",28372.2752495501
2028,"consumption",1162.28023182942
2028,"withdrawal",27843.2195623441
2030,"consumption",1124.57221831809
2030,"withdrawal",25727.0749469252
2032,"consumption",1110.99790980735
2032,"withdrawal",24451.5200697738
2034,"consumption",1101.90307015544
2034,"withdrawal",23304.2386915432
2036,"consumption",1074.60775935487
2036,"withdrawal",21611.5649815751
2038,"consumption",1058.67685663511
2038,"withdrawal",20723.781476801
2040,"consumption",1045.21542686873
2040,"withdrawal",19348.8200357279
2042,"consumption",1017.84786364569
2042,"withdrawal",18707.8594898886
2044,"consumption",975.872740891383
2044,"withdrawal",17710.2936870575
2046,"consumption",919.321808148917
2046,"withdrawal",15216.9510385288
2048,"consumption",861.459669834785
2048,"withdrawal",13797.6699636263
2050,"consumption",817.164253812875
2050,"withdrawal",12280.4187940643
