"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86072031303,"withdrawal"
"AL",2014,1612.98481339015,"withdrawal"
"AL",2016,1372.48088011078,"withdrawal"
"AL",2018,1366.44186810464,"withdrawal"
"AL",2020,1387.03211095448,"withdrawal"
"AL",2022,1413.37245871888,"withdrawal"
"AL",2024,1412.67428300451,"withdrawal"
"AL",2026,1416.67684093981,"withdrawal"
"AL",2028,1417.4088754186,"withdrawal"
"AL",2030,1412.39996911681,"withdrawal"
"AL",2032,1410.79716015171,"withdrawal"
"AL",2034,1410.34090111569,"withdrawal"
"AL",2036,1363.03374787079,"withdrawal"
"AL",2038,1408.94096490184,"withdrawal"
"AL",2040,1365.06254897345,"withdrawal"
"AL",2042,1364.58585736423,"withdrawal"
"AL",2044,1398.45021718891,"withdrawal"
"AL",2046,1414.07924356292,"withdrawal"
"AL",2048,1227.09921085216,"withdrawal"
"AL",2050,1228.67873368519,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.2248114722669,"withdrawal"
"AR",2014,71.5356970608054,"withdrawal"
"AR",2016,35.8924335628634,"withdrawal"
"AR",2018,34.0521365291328,"withdrawal"
"AR",2020,38.890780781813,"withdrawal"
"AR",2022,38.3966247356729,"withdrawal"
"AR",2024,41.4330834931525,"withdrawal"
"AR",2026,40.1032143168458,"withdrawal"
"AR",2028,38.0342898524408,"withdrawal"
"AR",2030,37.1189509801034,"withdrawal"
"AR",2032,35.734057366132,"withdrawal"
"AR",2034,31.1251928253972,"withdrawal"
"AR",2036,29.3722171597736,"withdrawal"
"AR",2038,29.4669716060534,"withdrawal"
"AR",2040,29.3359660465782,"withdrawal"
"AR",2042,30.6142631857348,"withdrawal"
"AR",2044,30.1227651719467,"withdrawal"
"AR",2046,28.8184758974972,"withdrawal"
"AR",2048,29.1212863855687,"withdrawal"
"AR",2050,28.1141503911429,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.973790428015,"withdrawal"
"AZ",2014,113.927008458748,"withdrawal"
"AZ",2016,88.8816972943069,"withdrawal"
