"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02628780771
2016,"withdrawal",31418.7319328675
2018,"consumption",1209.25456708723
2018,"withdrawal",30020.0456273605
2020,"consumption",1192.88826115061
2020,"withdrawal",29055.5535837487
2022,"consumption",1161.88058359843
2022,"withdrawal",28135.946010108
2024,"consumption",1187.62385506396
2024,"withdrawal",28388.1680377404
2026,"consumption",1183.8779367584
2026,"withdrawal",28372.5023422386
2028,"consumption",1162.14209262561
2028,"withdrawal",27844.2445206057
2030,"consumption",1129.93236023586
2030,"withdrawal",26176.0081037541
2032,"consumption",1126.13909899855
2032,"withdrawal",25725.8059340019
2034,"consumption",1115.51328757741
2034,"withdrawal",24604.7145387654
2036,"consumption",1096.96719808296
2036,"withdrawal",23579.5254508024
2038,"consumption",1081.62365523436
2038,"withdrawal",22976.0044713086
2040,"consumption",1066.48401635614
2040,"withdrawal",21671.1248664454
2042,"consumption",1046.17367643573
2042,"withdrawal",21047.5794146474
2044,"consumption",1027.59049590244
2044,"withdrawal",20084.1919010086
2046,"consumption",1004.96214838296
2046,"withdrawal",18536.4934484073
2048,"consumption",970.59156780698
2048,"withdrawal",17208.2592179249
2050,"consumption",930.264676637012
2050,"withdrawal",15939.6231092122
